Id, Probabilidad
0, 35
1, 61
2, 31
3, 44
4, 30
5, 74
6, 31
7, 32
8, 24
9, 35
10, 33
11, 16
12, 25
13, 24
14, 13
15, 14
16, 5
17, 25
18, 14
19, 7
20, 5
21, 13
22, 16
23, 38
24, 7
25, 11
26, 14
27, 4
28, 22
29, 6
30, 7
31, 15
32, 15
33, 12
34, 12
35, 5
36, 27
37, 12
38, 10
39, 9
40, 14
41, 4
42, 11
43, 13
44, 15
45, 9
46, 5
47, 8
48, 7
49, 8
50, 4
51, 14
52, 8
53, 7
54, 9
55, 6
56, 5
57, 6
58, 18
59, 5
60, 15
61, 5
62, 6
63, 12
64, 7
65, 9
66, 8
67, 19
68, 9
69, 6
70, 4
71, 8
72, 3
73, 11
74, 6
75, 9
76, 4
77, 8
78, 8
79, 5
80, 6
81, 15
82, 5
83, 5
84, 6
85, 7
86, 4
87, 9
88, 17
89, 4
90, 4
91, 10
92, 6
93, 9
94, 5
95, 8
96, 8
97, 3
98, 7
99, 7
100, 3
101, 8
102, 7
103, 8
104, 7
105, 8
106, 8
107, 5
108, 3
109, 6
110, 5
111, 4
112, 4
113, 6
114, 5
115, 5
116, 10
117, 8
118, 8
119, 9
120, 4
121, 4
122, 3
123, 9
124, 8
125, 3
126, 4
127, 6
128, 6
129, 5
130, 10
131, 5
132, 7
133, 4
134, 4
135, 6
136, 3
137, 3
138, 6
139, 3
140, 6
141, 9
142, 8
143, 4
144, 3
145, 4
146, 5
147, 4
148, 6
149, 5
150, 3
151, 9
152, 14
153, 7
154, 3
155, 3
156, 4
157, 9
158, 5
159, 4
160, 5
161, 7
162, 4
163, 7
164, 4
165, 8
166, 7
167, 7
168, 8
169, 4
170, 7
171, 6
172, 5
173, 6
174, 3
175, 3
176, 6
177, 5
178, 6
179, 6
180, 4
181, 8
182, 8
183, 3
184, 4
185, 5
186, 7
187, 3
188, 3
189, 6
190, 5
191, 4
192, 9
193, 4
194, 6
195, 4
196, 7
197, 3
198, 4
199, 5
200, 3
201, 3
202, 7
203, 3
204, 4
205, 6
206, 4
207, 7
208, 4
209, 7
210, 5
211, 3
212, 5
213, 3
214, 5
215, 5
216, 11
217, 3
218, 9
219, 6
220, 3
221, 3
222, 3
223, 3
224, 4
225, 3
226, 6
227, 3
228, 4
229, 4
230, 3
231, 4
232, 3
233, 5
234, 5
235, 3
236, 3
237, 5
238, 4
239, 6
240, 4
241, 5
242, 4
243, 7
244, 7
245, 7
246, 4
247, 3
248, 4
249, 4
250, 3
251, 4
252, 3
253, 3
254, 6
255, 5
256, 3
257, 7
258, 3
259, 3
260, 6
261, 4
262, 3
263, 7
264, 5
265, 4
266, 3
267, 5
268, 4
269, 3
270, 5
271, 3
272, 3
273, 3
274, 4
275, 4
276, 3
277, 3
278, 5
279, 5
280, 3
281, 4
282, 4
283, 7
284, 3
285, 3
286, 3
287, 3
288, 3
289, 3
290, 4
291, 3
292, 4
293, 4
294, 4
295, 5
296, 3
297, 4
298, 4
299, 6
300, 3
301, 4
302, 5
303, 3
304, 6
305, 6
306, 3
307, 4
308, 5
309, 3
310, 3
311, 6
312, 3
313, 3
314, 6
315, 6
316, 3
317, 5
318, 3
319, 4
320, 6
321, 4
322, 3
323, 3
324, 3
325, 4
326, 3
327, 3
328, 4
329, 3
330, 4
331, 4
332, 3
333, 5
334, 3
335, 4
336, 3
337, 4
338, 3
339, 4
340, 3
341, 4
342, 4
343, 4
344, 4
345, 3
346, 3
347, 3
348, 3
349, 4
350, 3
351, 4
352, 3
353, 5
354, 4
355, 5
356, 3
357, 4
358, 3
359, 3
360, 4
361, 3
362, 4
363, 3
364, 3
365, 3
366, 3
367, 3
368, 4
369, 3
370, 4
371, 3
372, 3
373, 6
374, 3
375, 6
376, 3
377, 3
378, 4
379, 3
380, 4
381, 3
382, 4
383, 3
384, 3
385, 4
386, 3
387, 4
388, 3
389, 3
390, 4
391, 3
392, 4
393, 6
394, 3
395, 3
396, 3
397, 5
398, 4
399, 3
400, 3
401, 3
402, 4
403, 3
404, 3
405, 4
406, 3
407, 3
408, 3
409, 4
410, 3
411, 3
412, 3
413, 3
414, 4
415, 3
416, 4
417, 4
418, 3
419, 3
420, 3
421, 3
422, 4
423, 5
424, 3
425, 3
426, 3
427, 4
428, 3
429, 3
430, 3
431, 3
432, 4
433, 3
434, 3
435, 3
436, 3
437, 5
438, 3
439, 3
440, 3
441, 3
442, 4
443, 3
444, 3
445, 3
446, 3
447, 3
448, 3
449, 4
450, 3
451, 4
452, 4
453, 3
454, 4
455, 3
456, 3
457, 3
458, 4
459, 3
460, 3
461, 3
462, 3
463, 3
464, 4
465, 3
466, 4
467, 3
468, 3
469, 3
470, 3
471, 5
472, 3
473, 3
474, 3
475, 3
476, 3
477, 3
478, 3
479, 3
480, 3
481, 3
482, 3
483, 3
484, 3
485, 3
486, 3
487, 3
488, 3
489, 3
490, 3
491, 3
492, 3
493, 3
494, 3
495, 3
496, 3
497, 3
498, 3
499, 3
500, 3
501, 3
502, 3
503, 3
