Episode_id,Location_id,NamedCharacters
32,3,miss_hoover:lisa_simpson:edna_krabappel-flanders:martin_prince:bart_simpson
32,374,lisa_simpson:landlady
32,3,bart_simpson:nelson_muntz:terrisherri:milhouse_van_houten:wendell_borton:edna_krabappel-flanders:kid_reporter
32,375,conductor:lisa_simpson:bergstrom
32,5,homer_simpson:lisa_simpson:marge_simpson:bart_simpson
33,5,marge_simpson:homer_simpson
32,5,homer_simpson:lisa_simpson:bart_simpson:marge_simpson
33,5,homer_simpson:marge_simpson:lisa_simpson:bart_simpson:ned_flanders:moe_szyslak:barney_gumble:dr_julius_hibbert
33,5,homer_simpson:bart_simpson:barney_gumble:husband_of_marges_friend:maude_flanders:marge_simpson:dr_julius_hibbert
33,5,bart_simpson:lisa_simpson
33,151,marge_simpson:homer_simpson
33,5,homer_simpson:sophisticate_1:sophisticate_2:sophisticate_3
33,151,marge_simpson:homer_simpson
33,5,homer_simpson:bart_simpson
33,131,rev_timothy_lovejoy:homer_simpson:marge_simpson
33,376,rev_timothy_lovejoy:homer_simpson:marge_simpson
33,5,homer_simpson:bart_simpson:marge_simpson:sultan:lisa_simpson:grampa_simpson
33,378,worm_man:homer_simpson
33,151,bart_simpson:lisa_simpson
33,380,rev_timothy_lovejoy:marge_simpson:helen:ned_flanders:homer_simpson:gloria:john:maude_flanders
33,381,lisa_simpson:bart_simpson:grampa_simpson
33,379,marge_simpson:rev_timothy_lovejoy
33,5,captain:grampa_simpson:bart_simpson:lisa_simpson
33,382,homer_simpson:marge_simpson
33,382,homer_simpson:marge_simpson
33,5,grampa_simpson:lisa_simpson:bart_simpson
33,379,helen_lovejoy:marge_simpson:rev_timothy_lovejoy
33,5,bart_simpson:otto_mann:lisa_simpson:grampa_simpson:nelson_muntz
33,5,bart_simpson:nelson_muntz:grampa_simpson:lisa_simpson
33,383,marge_simpson:homer_simpson
33,5,homer_simpson:lisa_simpson:marge_simpson:grampa_simpson:bart_simpson
33,386,worm_man:customer
34,151,bart_simpson:lisa_simpson:marge_simpson
34,387,lisa_simpson:bart_simpson:ticket_seller:diamond_joe:jimbo_jones:martin_prince
34,387,lost_and_found_guy:otto_mann:bart_simpson:milhouse_van_houten:radioactive_man:fallout_boy:announcer:convention_director:buddy:nelson_muntz:dealer
34,151,marge_simpson:lisa_simpson:homer_simpson:bart_simpson
34,388,bart_simpson:homer_simpson:marge_simpson
34,389,young_patty:young_selma:marge_simpson:older_patty:older_selma
34,388,marge_simpson:bart_simpson:lisa_simpson:adult_narrator:homer_simpson
34,390,bart_simpson:apu_nahasapeemapetilon
34,391,bart_simpson:teller
34,5,bart_simpson:lisa_simpson:barney_gumble:eddie:lou:homer_simpson
34,392,marge_simpson:mrs_glick
34,393,bart_simpson:mrs_glick
34,394,asa:mrs_glick:bart_simpson
34,394,bart_simpson:mrs_glick
34,395,mrs_glick:bart_simpson:soap_actress:soap_actor
34,5,bart_simpson:marge_simpson:mrs_glick
34,395,mrs_glick:bart_simpson
34,5,bart_simpson:homer_simpson
34,396,martin_prince:dealer:bart_simpson:milhouse_van_houten
34,84,radioactive_man:milhouse_van_houten:martin_prince:bart_simpson:marge_simpson
