Source,Target,Type,Id,Label,Weight
1,0,Directed,1,,1.0
3,0,Directed,2,,1.0
10,0,Directed,3,,1.0
13,0,Directed,4,,1.0
21,0,Directed,5,,1.0
30,0,Directed,6,,1.0
32,0,Directed,7,,1.0
40,0,Directed,8,,1.0
41,0,Directed,9,,1.0
45,0,Directed,10,,1.0
49,0,Directed,11,,1.0
53,0,Directed,12,,1.0
266,0,Directed,13,,1.0
254,0,Directed,14,,1.0
63,0,Directed,15,,1.0
67,0,Directed,16,,1.0
71,0,Directed,17,,1.0
82,0,Directed,18,,1.0
86,0,Directed,19,,1.0
225,0,Directed,20,,1.0
0,1,Directed,21,,1.0
3,1,Directed,22,,1.0
6,1,Directed,23,,1.0
10,1,Directed,24,,1.0
47,1,Directed,25,,1.0
49,1,Directed,26,,1.0
51,1,Directed,27,,1.0
53,1,Directed,28,,1.0
266,1,Directed,29,,1.0
69,1,Directed,30,,1.0
71,1,Directed,31,,1.0
80,1,Directed,32,,1.0
84,1,Directed,33,,1.0
225,1,Directed,34,,1.0
99,1,Directed,35,,1.0
0,3,Directed,36,,1.0
1,3,Directed,37,,1.0
10,3,Directed,38,,1.0
231,3,Directed,39,,1.0
30,3,Directed,40,,1.0
32,3,Directed,41,,1.0
40,3,Directed,42,,1.0
41,3,Directed,43,,1.0
48,3,Directed,44,,1.0
53,3,Directed,45,,1.0
289,3,Directed,46,,1.0
69,3,Directed,47,,1.0
82,3,Directed,48,,1.0
225,3,Directed,49,,1.0
96,3,Directed,50,,1.0
99,3,Directed,51,,1.0
67,4,Directed,52,,1.0
76,4,Directed,53,,1.0
89,4,Directed,54,,1.0
90,4,Directed,55,,1.0
92,4,Directed,56,,1.0
284,217,Directed,57,,1.0
31,217,Directed,58,,1.0
53,217,Directed,59,,1.0
266,217,Directed,60,,1.0
57,217,Directed,61,,1.0
254,217,Directed,62,,1.0
73,217,Directed,63,,1.0
83,217,Directed,64,,1.0
1,6,Directed,65,,1.0
284,6,Directed,66,,1.0
30,6,Directed,67,,1.0
31,6,Directed,68,,1.0
32,6,Directed,69,,1.0
266,6,Directed,70,,1.0
57,6,Directed,71,,1.0
