Source,Target,Type,Id,Label,Weight
709,201,Directed,1852,,1.0
577,204,Directed,1858,,1.0
559,204,Directed,1859,,1.0
581,204,Directed,1860,,1.0
427,205,Directed,1862,,1.0
216,646,Directed,1866,,1.0
504,646,Directed,1867,,1.0
259,646,Directed,1868,,1.0
298,646,Directed,1870,,1.0
442,209,Directed,1871,,1.0
508,209,Directed,1872,,1.0
267,209,Directed,1873,,1.0
615,209,Directed,1874,,1.0
550,209,Directed,1875,,1.0
526,209,Directed,1876,,1.0
559,497,Directed,1887,,1.0
526,497,Directed,1889,,1.0
209,442,Directed,1890,,1.0
601,442,Directed,1891,,1.0
267,442,Directed,1894,,1.0
335,442,Directed,1895,,1.0
541,442,Directed,1896,,1.0
559,442,Directed,1898,,1.0
581,442,Directed,1899,,1.0
216,711,Directed,1902,,1.0
346,711,Directed,1903,,1.0
504,711,Directed,1908,,1.0
259,711,Directed,1910,,1.0
294,711,Directed,1914,,1.0
298,711,Directed,1915,,1.0
399,478,Directed,1919,,1.0
615,478,Directed,1923,,1.0
648,478,Directed,1924,,1.0
526,478,Directed,1925,,1.0
530,478,Directed,1927,,1.0
646,216,Directed,1929,,1.0
711,216,Directed,1930,,1.0
504,216,Directed,1932,,1.0
709,216,Directed,1934,,1.0
294,216,Directed,1935,,1.0
298,216,Directed,1936,,1.0
658,216,Directed,1937,,1.0
711,346,Directed,1941,,1.0
658,346,Directed,1943,,1.0
688,219,Directed,1945,,1.0
709,219,Directed,1948,,1.0
351,657,Directed,1957,,1.0
335,657,Directed,1960,,1.0
478,399,Directed,1965,,1.0
554,399,Directed,1966,,1.0
615,399,Directed,1967,,1.0
559,399,Directed,1968,,1.0
581,399,Directed,1969,,1.0
283,671,Directed,1974,,1.0
427,671,Directed,1975,,1.0
437,671,Directed,1976,,1.0
709,223,Directed,1981,,1.0
219,688,Directed,1984,,1.0
237,688,Directed,1986,,1.0
404,688,Directed,1991,,1.0
437,688,Directed,1994,,1.0
657,351,Directed,2013,,1.0
651,351,Directed,2014,,1.0
713,351,Directed,2017,,1.0
658,351,Directed,2020,,1.0
676,402,Directed,2029,,1.0
688,237,Directed,2038,,1.0
709,237,Directed,2040,,1.0
442,601,Directed,2050,,1.0
709,244,Directed,2061,,1.0
401,244,Directed,2064,,1.0
437,244,Directed,2068,,1.0
373,639,Directed,2080,,1.0
646,504,Directed,2086,,1.0
711,504,Directed,2087,,1.0
216,504,Directed,2088,,1.0
259,504,Directed,2089,,1.0
700,504,Directed,2090,,1.0
709,504,Directed,2091,,1.0
298,504,Directed,2092,,1.0
658,504,Directed,2093,,1.0
559,479,Directed,2096,,1.0
402,676,Directed,2097,,1.0
209,508,Directed,2098,,1.0
615,508,Directed,2103,,1.0
550,508,Directed,2104,,1.0
577,508,Directed,2106,,1.0
559,508,Directed,2107,,1.0
526,508,Directed,2108,,1.0
351,651,Directed,2120,,1.0
708,481,Directed,2128,,1.0
615,481,Directed,2129,,1.0
559,481,Directed,2131,,1.0
581,481,Directed,2132,,1.0
526,481,Directed,2133,,1.0
581,446,Directed,2135,,1.0
646,259,Directed,2136,,1.0
711,259,Directed,2137,,1.0
504,259,Directed,2139,,1.0
700,259,Directed,2140,,1.0
709,259,Directed,2141,,1.0
298,259,Directed,2142,,1.0
658,259,Directed,2143,,1.0
615,512,Directed,2147,,1.0
550,512,Directed,2148,,1.0
559,512,Directed,2149,,1.0
581,512,Directed,2150,,1.0
504,700,Directed,2154,,1.0
259,700,Directed,2155,,1.0
298,700,Directed,2156,,1.0
559,491,Directed,2158,,1.0
581,491,Directed,2159,,1.0
209,267,Directed,2177,,1.0
442,267,Directed,2179,,1.0
615,267,Directed,2180,,1.0
559,482,Directed,2181,,1.0
399,554,Directed,2182,,1.0
688,404,Directed,2187,,1.0
658,404,Directed,2188,,1.0
639,373,Directed,2199,,1.0
442,335,Directed,2200,,1.0
657,335,Directed,2201,,1.0
201,709,Directed,2204,,1.0
216,709,Directed,2206,,1.0
219,709,Directed,2207,,1.0
223,709,Directed,2209,,1.0
237,709,Directed,2210,,1.0
244,709,Directed,2211,,1.0
504,709,Directed,2213,,1.0
259,709,Directed,2214,,1.0
283,709,Directed,2215,,1.0
294,709,Directed,2216,,1.0
298,709,Directed,2217,,1.0
351,713,Directed,2219,,1.0
333,713,Directed,2221,,1.0
713,333,Directed,2238,,1.0
671,283,Directed,2242,,1.0
709,283,Directed,2245,,1.0
437,283,Directed,2248,,1.0
658,283,Directed,2250,,1.0
481,708,Directed,2271,,1.0
244,401,Directed,2274,,1.0
209,615,Directed,2285,,1.0
478,615,Directed,2286,,1.0
399,615,Directed,2287,,1.0
508,615,Directed,2288,,1.0
481,615,Directed,2289,,1.0
512,615,Directed,2290,,1.0
267,615,Directed,2291,,1.0
648,615,Directed,2298,,1.0
472,615,Directed,2300,,1.0
711,294,Directed,2303,,1.0
216,294,Directed,2304,,1.0
709,294,Directed,2308,,1.0
658,294,Directed,2312,,1.0
442,541,Directed,2313,,1.0
648,541,Directed,2321,,1.0
472,541,Directed,2323,,1.0
646,298,Directed,2332,,1.0
711,298,Directed,2333,,1.0
216,298,Directed,2334,,1.0
504,298,Directed,2338,,1.0
259,298,Directed,2339,,1.0
700,298,Directed,2340,,1.0
709,298,Directed,2341,,1.0
437,298,Directed,2344,,1.0
658,298,Directed,2347,,1.0
205,427,Directed,2348,,1.0
671,427,Directed,2350,,1.0
209,550,Directed,2352,,1.0
508,550,Directed,2354,,1.0
512,550,Directed,2355,,1.0
671,437,Directed,2359,,1.0
688,437,Directed,2360,,1.0
244,437,Directed,2361,,1.0
283,437,Directed,2364,,1.0
298,437,Directed,2365,,1.0
658,437,Directed,2368,,1.0
204,577,Directed,2369,,1.0
508,577,Directed,2371,,1.0
204,559,Directed,2379,,1.0
497,559,Directed,2380,,1.0
442,559,Directed,2381,,1.0
399,559,Directed,2382,,1.0
479,559,Directed,2387,,1.0
508,559,Directed,2388,,1.0
481,559,Directed,2389,,1.0
512,559,Directed,2390,,1.0
491,559,Directed,2391,,1.0
482,559,Directed,2393,,1.0
456,559,Directed,2400,,1.0
648,559,Directed,2401,,1.0
204,581,Directed,2404,,1.0
442,581,Directed,2405,,1.0
399,581,Directed,2406,,1.0
481,581,Directed,2408,,1.0
446,581,Directed,2409,,1.0
512,581,Directed,2410,,1.0
491,581,Directed,2411,,1.0
472,581,Directed,2418,,1.0
559,456,Directed,2422,,1.0
478,648,Directed,2437,,1.0
615,648,Directed,2438,,1.0
541,648,Directed,2439,,1.0
559,648,Directed,2440,,1.0
530,648,Directed,2441,,1.0
209,526,Directed,2442,,1.0
497,526,Directed,2443,,1.0
478,526,Directed,2444,,1.0
508,526,Directed,2446,,1.0
481,526,Directed,2447,,1.0
472,526,Directed,2455,,1.0
615,472,Directed,2469,,1.0
541,472,Directed,2470,,1.0
581,472,Directed,2472,,1.0
526,472,Directed,2474,,1.0
216,658,Directed,2483,,1.0
346,658,Directed,2484,,1.0
351,658,Directed,2488,,1.0
504,658,Directed,2490,,1.0
259,658,Directed,2492,,1.0
