Source,Target,Type,Id,Label,Weight
4,5,Directed,0,,4
4,0,Directed,1,,1
6,1,Directed,2,,6
0,4,Directed,3,,1
0,5,Directed,4,,9
0,6,Directed,5,,4
0,0,Directed,6,,1090
0,1,Directed,7,,4
5,4,Directed,8,,4
1,1,Directed,9,,925
1,0,Directed,10,,4
1,3,Directed,11,,1
1,5,Directed,12,,18
1,4,Directed,13,,6
1,6,Directed,14,,6
4,3,Directed,15,,4
6,6,Directed,16,,1292
4,4,Directed,17,,1189
6,4,Directed,18,,32
6,5,Directed,19,,11
6,3,Directed,20,,2
6,0,Directed,21,,4
5,0,Directed,22,,9
5,5,Directed,23,,1654
4,1,Directed,24,,6
5,6,Directed,25,,11
5,1,Directed,26,,18
5,3,Directed,27,,14
4,6,Directed,28,,32
3,6,Directed,29,,2
3,5,Directed,30,,14
3,4,Directed,31,,4
3,3,Directed,32,,1240
3,1,Directed,33,,1
