Source,Target,Type,Id,Label,Weight
14,74,Directed,1,,1.0
42,74,Directed,2,,1.0
44,11,Directed,3,,1.0
51,11,Directed,4,,1.0
83,11,Directed,5,,1.0
70,11,Directed,6,,1.0
95,11,Directed,7,,1.0
2,11,Directed,8,,1.0
63,11,Directed,9,,1.0
68,11,Directed,10,,1.0
12,11,Directed,11,,1.0
22,11,Directed,12,,1.0
38,11,Directed,13,,1.0
66,11,Directed,14,,1.0
29,11,Directed,15,,1.0
19,11,Directed,16,,1.0
9,11,Directed,17,,1.0
91,11,Directed,18,,1.0
75,11,Directed,19,,1.0
82,11,Directed,20,,1.0
97,11,Directed,21,,1.0
6,11,Directed,22,,1.0
77,11,Directed,23,,1.0
89,11,Directed,24,,1.0
18,36,Directed,25,,1.0
48,36,Directed,26,,1.0
38,36,Directed,27,,1.0
66,36,Directed,28,,1.0
37,93,Directed,29,,1.0
94,93,Directed,30,,1.0
49,93,Directed,31,,1.0
45,93,Directed,32,,1.0
31,93,Directed,33,,1.0
42,93,Directed,34,,1.0
11,44,Directed,35,,1.0
83,44,Directed,36,,1.0
65,44,Directed,37,,1.0
70,44,Directed,38,,1.0
8,44,Directed,39,,1.0
2,44,Directed,40,,1.0
63,44,Directed,41,,1.0
68,44,Directed,42,,1.0
22,44,Directed,43,,1.0
29,44,Directed,44,,1.0
19,44,Directed,45,,1.0
75,44,Directed,46,,1.0
82,44,Directed,47,,1.0
77,44,Directed,48,,1.0
16,44,Directed,49,,1.0
42,44,Directed,50,,1.0
11,51,Directed,51,,1.0
53,51,Directed,52,,1.0
83,51,Directed,53,,1.0
55,51,Directed,54,,1.0
65,51,Directed,55,,1.0
60,51,Directed,56,,1.0
30,51,Directed,57,,1.0
70,51,Directed,58,,1.0
2,51,Directed,59,,1.0
68,51,Directed,60,,1.0
12,51,Directed,61,,1.0
38,51,Directed,62,,1.0
66,51,Directed,63,,1.0
29,51,Directed,64,,1.0
19,51,Directed,65,,1.0
3,51,Directed,66,,1.0
50,51,Directed,67,,1.0
9,51,Directed,68,,1.0
76,51,Directed,69,,1.0
91,51,Directed,70,,1.0
75,51,Directed,71,,1.0
97,51,Directed,72,,1.0
77,51,Directed,73,,1.0
34,51,Directed,74,,1.0
89,51,Directed,75,,1.0
51,53,Directed,76,,1.0
65,53,Directed,77,,1.0
84,53,Directed,78,,1.0
39,53,Directed,79,,1.0
37,53,Directed,80,,1.0
47,53,Directed,81,,1.0
18,53,Directed,82,,1.0
4,53,Directed,83,,1.0
20,53,Directed,84,,1.0
14,53,Directed,85,,1.0
25,53,Directed,86,,1.0
68,53,Directed,87,,1.0
33,53,Directed,88,,1.0
38,53,Directed,89,,1.0
24,53,Directed,90,,1.0
19,53,Directed,91,,1.0
57,53,Directed,92,,1.0
88,53,Directed,93,,1.0
91,53,Directed,94,,1.0
45,53,Directed,95,,1.0
52,53,Directed,96,,1.0
59,53,Directed,97,,1.0
75,53,Directed,98,,1.0
7,53,Directed,99,,1.0
46,53,Directed,100,,1.0
97,53,Directed,101,,1.0
92,53,Directed,102,,1.0
42,53,Directed,103,,1.0
11,83,Directed,104,,1.0
44,83,Directed,105,,1.0
51,83,Directed,106,,1.0
65,83,Directed,107,,1.0
99,83,Directed,108,,1.0
84,83,Directed,109,,1.0
60,83,Directed,110,,1.0
70,83,Directed,111,,1.0
86,83,Directed,112,,1.0
95,83,Directed,113,,1.0
4,83,Directed,114,,1.0
8,83,Directed,115,,1.0
2,83,Directed,116,,1.0
20,83,Directed,117,,1.0
63,83,Directed,118,,1.0
68,83,Directed,119,,1.0
69,83,Directed,120,,1.0
12,83,Directed,121,,1.0
22,83,Directed,122,,1.0
38,83,Directed,123,,1.0
66,83,Directed,124,,1.0
29,83,Directed,125,,1.0
19,83,Directed,126,,1.0
90,83,Directed,127,,1.0
88,83,Directed,128,,1.0
50,83,Directed,129,,1.0
76,83,Directed,130,,1.0
49,83,Directed,131,,1.0
91,83,Directed,132,,1.0
45,83,Directed,133,,1.0
75,83,Directed,134,,1.0
61,83,Directed,135,,1.0
97,83,Directed,136,,1.0
64,83,Directed,137,,1.0
77,83,Directed,138,,1.0
34,83,Directed,139,,1.0
0,83,Directed,140,,1.0
70,32,Directed,141,,1.0
4,32,Directed,142,,1.0
14,32,Directed,143,,1.0
38,32,Directed,144,,1.0
45,32,Directed,145,,1.0
75,32,Directed,146,,1.0
7,32,Directed,147,,1.0
69,26,Directed,148,,1.0
48,26,Directed,149,,1.0
3,26,Directed,150,,1.0
9,26,Directed,151,,1.0
91,26,Directed,152,,1.0
80,26,Directed,153,,1.0
51,55,Directed,154,,1.0
37,55,Directed,155,,1.0
22,55,Directed,156,,1.0
19,55,Directed,157,,1.0
49,55,Directed,158,,1.0
45,55,Directed,159,,1.0
75,55,Directed,160,,1.0
7,55,Directed,161,,1.0
31,55,Directed,162,,1.0
34,55,Directed,163,,1.0
44,65,Directed,164,,1.0
51,65,Directed,165,,1.0
53,65,Directed,166,,1.0
83,65,Directed,167,,1.0
99,65,Directed,168,,1.0
30,65,Directed,169,,1.0
70,65,Directed,170,,1.0
18,65,Directed,171,,1.0
2,65,Directed,172,,1.0
20,65,Directed,173,,1.0
63,65,Directed,174,,1.0
12,65,Directed,175,,1.0
38,65,Directed,176,,1.0
24,65,Directed,177,,1.0
19,65,Directed,178,,1.0
57,65,Directed,179,,1.0
3,65,Directed,180,,1.0
50,65,Directed,181,,1.0
49,65,Directed,182,,1.0
45,65,Directed,183,,1.0
52,65,Directed,184,,1.0
75,65,Directed,185,,1.0
61,65,Directed,186,,1.0
46,65,Directed,187,,1.0
31,65,Directed,188,,1.0
83,99,Directed,189,,1.0
65,99,Directed,190,,1.0
70,99,Directed,191,,1.0
95,99,Directed,192,,1.0
18,99,Directed,193,,1.0
2,99,Directed,194,,1.0
63,99,Directed,195,,1.0
68,99,Directed,196,,1.0
54,99,Directed,197,,1.0
12,99,Directed,198,,1.0
22,99,Directed,199,,1.0
38,99,Directed,200,,1.0
27,99,Directed,201,,1.0
66,99,Directed,202,,1.0
29,99,Directed,203,,1.0
19,99,Directed,204,,1.0
3,99,Directed,205,,1.0
88,99,Directed,206,,1.0
50,99,Directed,207,,1.0
9,99,Directed,208,,1.0
76,99,Directed,209,,1.0
91,99,Directed,210,,1.0
43,99,Directed,211,,1.0
97,99,Directed,212,,1.0
1,99,Directed,213,,1.0
6,99,Directed,214,,1.0
77,99,Directed,215,,1.0
34,99,Directed,216,,1.0
92,99,Directed,217,,1.0
89,99,Directed,218,,1.0
0,99,Directed,219,,1.0
53,84,Directed,220,,1.0
83,84,Directed,221,,1.0
4,84,Directed,222,,1.0
15,84,Directed,223,,1.0
57,84,Directed,224,,1.0
59,84,Directed,225,,1.0
97,84,Directed,226,,1.0
23,84,Directed,227,,1.0
0,84,Directed,228,,1.0
51,60,Directed,229,,1.0
83,60,Directed,230,,1.0
70,60,Directed,231,,1.0
95,60,Directed,232,,1.0
18,60,Directed,233,,1.0
4,60,Directed,234,,1.0
2,60,Directed,235,,1.0
68,60,Directed,236,,1.0
69,60,Directed,237,,1.0
22,60,Directed,238,,1.0
38,60,Directed,239,,1.0
27,60,Directed,240,,1.0
81,60,Directed,241,,1.0
66,60,Directed,242,,1.0
29,60,Directed,243,,1.0
19,60,Directed,244,,1.0
88,60,Directed,245,,1.0
50,60,Directed,246,,1.0
76,60,Directed,247,,1.0
91,60,Directed,248,,1.0
43,60,Directed,249,,1.0
75,60,Directed,250,,1.0
82,60,Directed,251,,1.0
61,60,Directed,252,,1.0
6,60,Directed,253,,1.0
64,60,Directed,254,,1.0
34,60,Directed,255,,1.0
89,60,Directed,256,,1.0
42,60,Directed,257,,1.0
51,30,Directed,258,,1.0
65,30,Directed,259,,1.0
70,30,Directed,260,,1.0
68,30,Directed,261,,1.0
43,30,Directed,262,,1.0
75,30,Directed,263,,1.0
82,30,Directed,264,,1.0
61,30,Directed,265,,1.0
1,30,Directed,266,,1.0
6,30,Directed,267,,1.0
42,30,Directed,268,,1.0
0,30,Directed,269,,1.0
53,39,Directed,270,,1.0
14,39,Directed,271,,1.0
38,39,Directed,272,,1.0
24,39,Directed,273,,1.0
45,39,Directed,274,,1.0
17,39,Directed,275,,1.0
