Source,Target,Type,Id,Label,Weight
4,0,Directed,1,,1.0
6,0,Directed,2,,1.0
9,0,Directed,3,,1.0
10,0,Directed,4,,1.0
11,0,Directed,5,,1.0
13,0,Directed,6,,1.0
15,0,Directed,7,,1.0
16,0,Directed,8,,1.0
20,0,Directed,9,,1.0
22,0,Directed,10,,1.0
23,0,Directed,11,,1.0
24,0,Directed,12,,1.0
26,0,Directed,13,,1.0
34,0,Directed,14,,1.0
36,0,Directed,15,,1.0
40,0,Directed,16,,1.0
41,0,Directed,17,,1.0
44,0,Directed,18,,1.0
46,0,Directed,19,,1.0
48,0,Directed,20,,1.0
50,0,Directed,21,,1.0
53,0,Directed,22,,1.0
54,0,Directed,23,,1.0
60,0,Directed,24,,1.0
61,0,Directed,25,,1.0
71,0,Directed,26,,1.0
73,0,Directed,27,,1.0
75,0,Directed,28,,1.0
78,0,Directed,29,,1.0
79,0,Directed,30,,1.0
80,0,Directed,31,,1.0
82,0,Directed,32,,1.0
84,0,Directed,33,,1.0
90,0,Directed,34,,1.0
99,0,Directed,35,,1.0
72,1,Directed,36,,1.0
85,1,Directed,37,,1.0
10,2,Directed,38,,1.0
17,2,Directed,39,,1.0
35,2,Directed,40,,1.0
39,2,Directed,41,,1.0
47,2,Directed,42,,1.0
52,2,Directed,43,,1.0
54,2,Directed,44,,1.0
57,2,Directed,45,,1.0
79,2,Directed,46,,1.0
80,2,Directed,47,,1.0
82,2,Directed,48,,1.0
97,3,Directed,49,,1.0
0,4,Directed,50,,1.0
13,4,Directed,51,,1.0
51,4,Directed,52,,1.0
52,4,Directed,53,,1.0
59,4,Directed,54,,1.0
61,4,Directed,55,,1.0
92,4,Directed,56,,1.0
93,4,Directed,57,,1.0
95,4,Directed,58,,1.0
99,4,Directed,59,,1.0
0,6,Directed,60,,1.0
8,6,Directed,61,,1.0
9,6,Directed,62,,1.0
10,6,Directed,63,,1.0
11,6,Directed,64,,1.0
12,6,Directed,65,,1.0
13,6,Directed,66,,1.0
15,6,Directed,67,,1.0
20,6,Directed,68,,1.0
22,6,Directed,69,,1.0
24,6,Directed,70,,1.0
29,6,Directed,71,,1.0
31,6,Directed,72,,1.0
36,6,Directed,73,,1.0
40,6,Directed,74,,1.0
43,6,Directed,75,,1.0
45,6,Directed,76,,1.0
46,6,Directed,77,,1.0
48,6,Directed,78,,1.0
50,6,Directed,79,,1.0
51,6,Directed,80,,1.0
52,6,Directed,81,,1.0
53,6,Directed,82,,1.0
56,6,Directed,83,,1.0
58,6,Directed,84,,1.0
60,6,Directed,85,,1.0
61,6,Directed,86,,1.0
65,6,Directed,87,,1.0
67,6,Directed,88,,1.0
68,6,Directed,89,,1.0
71,6,Directed,90,,1.0
73,6,Directed,91,,1.0
78,6,Directed,92,,1.0
79,6,Directed,93,,1.0
80,6,Directed,94,,1.0
82,6,Directed,95,,1.0
86,6,Directed,96,,1.0
90,6,Directed,97,,1.0
94,6,Directed,98,,1.0
95,6,Directed,99,,1.0
98,6,Directed,100,,1.0
99,6,Directed,101,,1.0
17,7,Directed,102,,1.0
39,7,Directed,103,,1.0
42,7,Directed,104,,1.0
54,7,Directed,105,,1.0
57,7,Directed,106,,1.0
6,8,Directed,107,,1.0
10,8,Directed,108,,1.0
33,8,Directed,109,,1.0
40,8,Directed,110,,1.0
50,8,Directed,111,,1.0
53,8,Directed,112,,1.0
54,8,Directed,113,,1.0
60,8,Directed,114,,1.0
64,8,Directed,115,,1.0
71,8,Directed,116,,1.0
80,8,Directed,117,,1.0
86,8,Directed,118,,1.0
90,8,Directed,119,,1.0
0,9,Directed,120,,1.0
6,9,Directed,121,,1.0
22,9,Directed,122,,1.0
35,9,Directed,123,,1.0
40,9,Directed,124,,1.0
45,9,Directed,125,,1.0
50,9,Directed,126,,1.0
54,9,Directed,127,,1.0
60,9,Directed,128,,1.0
61,9,Directed,129,,1.0
71,9,Directed,130,,1.0
78,9,Directed,131,,1.0
82,9,Directed,132,,1.0
88,9,Directed,133,,1.0
90,9,Directed,134,,1.0
99,9,Directed,135,,1.0
0,10,Directed,136,,1.0
2,10,Directed,137,,1.0
6,10,Directed,138,,1.0
8,10,Directed,139,,1.0
12,10,Directed,140,,1.0
16,10,Directed,141,,1.0
17,10,Directed,142,,1.0
29,10,Directed,143,,1.0
39,10,Directed,144,,1.0
40,10,Directed,145,,1.0
41,10,Directed,146,,1.0
43,10,Directed,147,,1.0
45,10,Directed,148,,1.0
46,10,Directed,149,,1.0
50,10,Directed,150,,1.0
52,10,Directed,151,,1.0
53,10,Directed,152,,1.0
54,10,Directed,153,,1.0
56,10,Directed,154,,1.0
60,10,Directed,155,,1.0
61,10,Directed,156,,1.0
67,10,Directed,157,,1.0
69,10,Directed,158,,1.0
70,10,Directed,159,,1.0
76,10,Directed,160,,1.0
78,10,Directed,161,,1.0
79,10,Directed,162,,1.0
80,10,Directed,163,,1.0
82,10,Directed,164,,1.0
88,10,Directed,165,,1.0
90,10,Directed,166,,1.0
92,10,Directed,167,,1.0
94,10,Directed,168,,1.0
95,10,Directed,169,,1.0
96,10,Directed,170,,1.0
98,10,Directed,171,,1.0
99,10,Directed,172,,1.0
0,11,Directed,173,,1.0
6,11,Directed,174,,1.0
16,11,Directed,175,,1.0
29,11,Directed,176,,1.0
33,11,Directed,177,,1.0
36,11,Directed,178,,1.0
50,11,Directed,179,,1.0
51,11,Directed,180,,1.0
52,11,Directed,181,,1.0
71,11,Directed,182,,1.0
86,11,Directed,183,,1.0
95,11,Directed,184,,1.0
6,12,Directed,185,,1.0
10,12,Directed,186,,1.0
29,12,Directed,187,,1.0
44,12,Directed,188,,1.0
48,12,Directed,189,,1.0
54,12,Directed,190,,1.0
67,12,Directed,191,,1.0
70,12,Directed,192,,1.0
76,12,Directed,193,,1.0
90,12,Directed,194,,1.0
95,12,Directed,195,,1.0
96,12,Directed,196,,1.0
98,12,Directed,197,,1.0
0,13,Directed,198,,1.0
4,13,Directed,199,,1.0
6,13,Directed,200,,1.0
20,13,Directed,201,,1.0
29,13,Directed,202,,1.0
30,13,Directed,203,,1.0
41,13,Directed,204,,1.0
50,13,Directed,205,,1.0
52,13,Directed,206,,1.0
53,13,Directed,207,,1.0
56,13,Directed,208,,1.0
68,13,Directed,209,,1.0
80,13,Directed,210,,1.0
94,13,Directed,211,,1.0
95,13,Directed,212,,1.0
74,14,Directed,213,,1.0
0,15,Directed,214,,1.0
6,15,Directed,215,,1.0
35,15,Directed,216,,1.0
52,15,Directed,217,,1.0
54,15,Directed,218,,1.0
71,15,Directed,219,,1.0
80,15,Directed,220,,1.0
82,15,Directed,221,,1.0
86,15,Directed,222,,1.0
0,16,Directed,223,,1.0
10,16,Directed,224,,1.0
11,16,Directed,225,,1.0
35,16,Directed,226,,1.0
39,16,Directed,227,,1.0
49,16,Directed,228,,1.0
50,16,Directed,229,,1.0
53,16,Directed,230,,1.0
64,16,Directed,231,,1.0
68,16,Directed,232,,1.0
71,16,Directed,233,,1.0
78,16,Directed,234,,1.0
79,16,Directed,235,,1.0
82,16,Directed,236,,1.0
90,16,Directed,237,,1.0
99,16,Directed,238,,1.0
2,17,Directed,239,,1.0
7,17,Directed,240,,1.0
10,17,Directed,241,,1.0
20,17,Directed,242,,1.0
22,17,Directed,243,,1.0
35,17,Directed,244,,1.0
39,17,Directed,245,,1.0
52,17,Directed,246,,1.0
54,17,Directed,247,,1.0
61,17,Directed,248,,1.0
64,17,Directed,249,,1.0
78,17,Directed,250,,1.0
79,17,Directed,251,,1.0
80,17,Directed,252,,1.0
88,17,Directed,253,,1.0
42,18,Directed,254,,1.0
66,18,Directed,255,,1.0
0,20,Directed,256,,1.0
6,20,Directed,257,,1.0
13,20,Directed,258,,1.0
17,20,Directed,259,,1.0
22,20,Directed,260,,1.0
29,20,Directed,261,,1.0
36,20,Directed,262,,1.0
48,20,Directed,263,,1.0
52,20,Directed,264,,1.0
58,20,Directed,265,,1.0
68,20,Directed,266,,1.0
71,20,Directed,267,,1.0
73,20,Directed,268,,1.0
80,20,Directed,269,,1.0
94,20,Directed,270,,1.0
95,20,Directed,271,,1.0
99,20,Directed,272,,1.0
53,21,Directed,273,,1.0
0,22,Directed,274,,1.0
6,22,Directed,275,,1.0
9,22,Directed,276,,1.0
17,22,Directed,277,,1.0
20,22,Directed,278,,1.0
29,22,Directed,279,,1.0
30,22,Directed,280,,1.0
41,22,Directed,281,,1.0
52,22,Directed,282,,1.0
61,22,Directed,283,,1.0
70,22,Directed,284,,1.0
73,22,Directed,285,,1.0
80,22,Directed,286,,1.0
88,22,Directed,287,,1.0
95,22,Directed,288,,1.0
99,22,Directed,289,,1.0
0,23,Directed,290,,1.0
34,23,Directed,291,,1.0
44,23,Directed,292,,1.0
48,23,Directed,293,,1.0
50,23,Directed,294,,1.0
60,23,Directed,295,,1.0
65,23,Directed,296,,1.0
75,23,Directed,297,,1.0
80,23,Directed,298,,1.0
90,23,Directed,299,,1.0
0,24,Directed,300,,1.0
6,24,Directed,301,,1.0
41,24,Directed,302,,1.0
45,24,Directed,303,,1.0
50,24,Directed,304,,1.0
52,24,Directed,305,,1.0
54,24,Directed,306,,1.0
60,24,Directed,307,,1.0
0,26,Directed,308,,1.0
80,26,Directed,309,,1.0
99,26,Directed,310,,1.0
55,28,Directed,311,,1.0
90,28,Directed,312,,1.0
93,28,Directed,313,,1.0
6,29,Directed,314,,1.0
10,29,Directed,315,,1.0
11,29,Directed,316,,1.0
12,29,Directed,317,,1.0
13,29,Directed,318,,1.0
20,29,Directed,319,,1.0
22,29,Directed,320,,1.0
35,29,Directed,321,,1.0
39,29,Directed,322,,1.0
45,29,Directed,323,,1.0
46,29,Directed,324,,1.0
47,29,Directed,325,,1.0
50,29,Directed,326,,1.0
52,29,Directed,327,,1.0
60,29,Directed,328,,1.0
61,29,Directed,329,,1.0
71,29,Directed,330,,1.0
73,29,Directed,331,,1.0
76,29,Directed,332,,1.0
78,29,Directed,333,,1.0
79,29,Directed,334,,1.0
80,29,Directed,335,,1.0
81,29,Directed,336,,1.0
82,29,Directed,337,,1.0
86,29,Directed,338,,1.0
88,29,Directed,339,,1.0
90,29,Directed,340,,1.0
98,29,Directed,341,,1.0
