Id,Label,Country,Following,Followers,Tweets
421,@BBCNews,United_kingdom,99,9143730,344218
699,@muyinteresante,Spain,581,8366229,133651
477,@SkySportsPL,United_kingdom,832,3613040,130862
558,@Pharrell,United_states,1028,10805401,4356
184,@imarleneking,Germany,654,864160,31512
171,@barisatay,Germany,2600,1104392,65386
693,@LuzuVlogs,Spain,181,3411227,17921
360,@RudyZerbi,Italy,1826,857863,15805
57,@OmarSy,France,359,2978938,7971
362,@radiodeejay,Italy,629,2372602,38772
190,@SturmBoxing,Germany,97,722859,5269
580,@blakeshelton,United_states,712,20858599,10574
644,@jordievole,Spain,803,3345088,24524
443,@Joe_Sugg,United_kingdom,2647,5534543,21791
614,@ObamaWhiteHouse,United_states,231,13933582,28385
168,@rewinside,Germany,300,1317395,14512
539,@azizansari,United_states,0,11226349,7622
592,@NASA,United_states,270,28078433,50278
365,@FabioDeLuigi,Italy,1079,932276,1573
386,@EzioGreggio,Italy,720,1149199,8339
84,@enjoyphoenix,France,800,1597415,14389
479,@victoriabeckham,United_kingdom,56,13060836,3371
608,@Pink,United_states,450,32092711,6801
447,@SkyNews,United_kingdom,12,4488896,279201
663,@2010MisterChip,Spain,499,2575284,110898
453,@JohnCleese,United_kingdom,196,5738737,4581
191,@Zombey,Germany,293,831550,49805
564,@camerondallas,United_states,12329,15740770,37338
284,@MonsieurDream,France,561,8125797,13656
523,@SarahKSilverman,United_states,1038,12435463,10510
266,@DebbouzeJamel,France,495,7406384,5339
669,@_MaluOficial_,Spain,252,2509990,4678
692,@ActualidadRT,Spain,77,2840299,438263
391,@acmilan,Italy,44,6469570,45237
575,@SHAQ,United_states,689,14989199,9008
85,@Elysee,France,269,1972032,22516
578,@SportsCenter,United_states,1660,35510647,101191
393,@_ruggero,Italy,998,1274997,13302
577,@britneyspears,United_states,388510,56662381,5368
631,@Thiago6,Spain,142,3206817,1749
513,@DesignMuseum,United_kingdom,2380,4358187,15532
566,@ParisHilton,United_states,6902,17739066,29030
572,@POTUS44,United_states,79,15231654,352
326,@Gazzetta_it,Italy,270,1693331,234418
381,@sole24ore,Italy,512,1293541,89065
4,@BFMTV,France,486,2314508,262640
554,@KimKardashian,United_states,131,58441892,25619
120,@beckenbauer,Germany,60,1270231,378
718,@TownGamePlay,Spain,299,2497336,101505
690,@MarcBartra,Spain,692,2582008,2757
506,@eddieizzard,United_kingdom,618,4766641,8089
35,@KathieLGifford,France,1183,1405164,19729
652,@hola,Spain,2812,1703883,150776
148,@BILD,Germany,558,1684054,176086
400,@juventusfcen,Italy,55,870790,45319
115,@CHIP_online,Germany,336,938987,84369
462,@premierleague,United_kingdom,77,17098230,88018
219,@MarioGoetze,Germany,197,4149323,1053
527,@xtina,United_states,24,17066435,1012
715,@21LVA,Spain,241,3706486,774
94,@MLP_officiel,France,4157,2022466,15867
605,@NICKIMINAJ,United_states,4888,21264450,39607
451,@JeremyClarkson,United_kingdom,179,7162094,5763
354,@Simo_Ventura,Italy,1080,1095396,11451
459,@GNev2,United_kingdom,674,3915977,12204
99,@canalplus,France,998,2946860,53693
10,@CamilleCombal,France,527,1696579,15755
78,@France2tv,France,1303,2406528,33492
667,@Wismichu,Spain,468,2530541,55559
512,@onedirection,United_kingdom,3911,31794978,9899
708,@cesc4official,Spain,158,9729053,3460
396,@repubblica,Italy,281,2810053,450612
548,@maroon5,United_states,450,14976158,5272
503,@FinancialTimes,United_kingdom,819,5970242,217938
698,@_anapastor_,Spain,701,2002437,102229
74,@M6,France,381,3082486,46778
407,@redazioneiene,Italy,47,2181108,10953
402,@Pontifex_it,Italy,8,4842682,1434
675,@MelendiOficial,Spain,239,1769957,13143
19,@alejodorowsky,France,73,1828292,96447
635,@Berto_Romero,Spain,289,2476952,16611
267,@davidguetta,France,270,22161772,4179
56,@_OlivierGiroud_,France,69,2225776,725
685,@danimartinezweb,Spain,567,2553494,26532
320,@stanzaselvaggia,Italy,1506,823593,19177
481,@Louis_Tomlinson,United_kingdom,3826,32364379,6388
557,@nytimes,United_states,886,40943724,306781
555,@TreySongz,United_states,3638,13365552,13601
371,@AmiciUfficiale,Italy,265,934814,80729
490,@Camila_Cabello,United_kingdom,16745,5897046,11327
448,@RoyalFamily,United_kingdom,515,3446869,27090
369,@spinozait,Italy,52,1629368,3582
302,@lemondefr,France,514,7736844,253610
530,@JLo,United_states,1734,44798772,12355
372,@OfficialEl92,Italy,75,1519989,849
576,@ashleytisdale,United_states,222,14051055,8569
71,@Amelie_Officiel,France,894,1739375,22387
556,@JimCarrey,United_states,1,17446631,4226
43,@JohnnySjh,France,742,1777272,5088
515,@samsmithworld,United_kingdom,1296,6404969,13144
96,@MATUIDIBlaise,France,89,2378896,986
551,@charliesheen,United_states,174,12313323,2243
336,@EnzoZelocchi,Italy,131,1967125,217
397,@CremoniniCesare,Italy,1124,1163237,11661
106,@ConCrafter,Germany,37,827537,130
595,@KingJames,United_states,176,40465776,5688
343,@Agenzia_Ansa,Italy,185,933744,132862
66,@amel_bent,France,720,2836044,7635
460,@ChrisMoyles,United_kingdom,199,3959075,12560
308,@kevadamsss,France,762,6239240,11820
228,@AntoGriezmann,France,3,4937062,2528
542,@iamwill,United_states,1432,13601411,7536
36,@equipedefrance,France,452,3467870,46064
439,@ceracoat,United_kingdom,1448,3462370,3974
519,@Fearnecotton,United_kingdom,574,7475801,19914
359,@Fiorello,Italy,2301,1296912,14810
639,@Guaje7Villa,Spain,638,8646447,2118
489,@SimonCowell,United_kingdom,2756,12618170,1854
419,@juventusfc,Italy,57,5845778,66307
666,@Rubiu5,Spain,665,10768207,23347
310,@TwitterDE,Germany,14,2195000,3091
710,@FCBarcelona,Spain,72,27128936,92418
366,@Corriere,Italy,294,2035356,281808
324,@m_hunziker,Italy,218,2193577,1235
540,@Beyonce,United_states,10,15172744,10
358,@Internazionale,Italy,346,1156573,69843
329,@mtvitalia,Italy,1307,1138429,63545
712,@GUTY14HAZ,Spain,142,1745724,9049
435,@richardbranson,United_kingdom,3848,12111329,19045
80,@NRJhitmusiconly,France,2028,3761529,76569
167,@Julien_Bam,Germany,368,1665393,6854
325,@sscnapoli,Italy,93,1309311,29628
498,@antanddec,United_kingdom,661,6765452,13948
521,@VictoriaJustice,United_states,1928,10801577,20271
370,@Fabiovoloo,Italy,197,1615602,7354
107,@dieternuhr,Germany,29,843348,2688
113,@janmeyer,Germany,116,782200,5148
457,@iamjohnoliver,United_kingdom,102,4768056,361
368,@beppesevergnini,Italy,264,1137204,7547
499,@GaryLineker,United_kingdom,919,6883066,25465
376,@casaleantonio,Italy,389,1061787,32099
