Id,Label,Country,Following,Followers,Tweets
0,@paugasol,spain,321,7348519,12213
1,@RafaelNadal,spain,91,15216687,2585
2,@AlvaroMorata,spain,904,4135132,2323
3,@isco_alarcon,spain,310,4610312,876
4,@lorenzo99,spain,711,1666218,11283
5,@LuzuGames,spain,99,3015991,14197
6,@marca,spain,1613,4802650,281855
7,@El_Hormiguero,spain,270,2369901,26379
8,@FCBarcelona_es,spain,73,12949826,93269
9,@nachofi1990,spain,682,1926819,1619
10,@el_pais,spain,792,6528254,382719
11,@Thiago6,spain,142,3206817,1749
12,@AnderHerrera,spain,295,2208565,2189
13,@officialpepe,spain,6,3327437,148
14,@CristiPedroche,spain,230,2372380,7670
15,@Berto_Romero,spain,289,2476952,16611
16,@JeseRodriguez10,spain,101,2593354,1328
17,@DANIROVIRA,spain,282,2998133,14675
18,@aarbeloa17,spain,1071,5631240,4933
19,@Guaje7Villa,spain,638,8646447,2118
20,@AnnaSimonMari,spain,348,2014271,3247
21,@mtvspain,spain,813,3018022,32072
22,@Carles5puyol,spain,371,10848721,2154
23,@ifilosofia,spain,89799,2459077,53374
24,@jordievole,spain,803,3345088,24524
25,@perezreverte,spain,909,1947943,32121
26,@realmadrid,spain,53,28730706,60247
27,@diarioas,spain,1111,2384687,249159
28,@enriqueiglesias,spain,2811,14265211,5343
29,@_Pedro17_,spain,185,4555761,606
30,@rickyrubio9,spain,230,2840297,3357
31,@AlejandroSanz,spain,1538,18911170,28341
32,@hola,spain,2812,1703883,150776
33,@auronplay,spain,392,2479046,30695
34,@19SCazorla,spain,374,2067725,1190
35,@vegetta777,spain,280,5397027,49939
36,@fifaworldcup_es,spain,311,1952345,10585
37,@davidbisbal,spain,754,10000304,16488
38,@IkerCasillas,spain,1732,7875065,3066
39,@mario_casas_,spain,274,1857540,2212
40,@aLexBY11,spain,107,4411470,22441
41,@BBVAworld,spain,377,2721602,90103
42,@_danielmartin_,spain,3179,1921912,29809
43,@2010MisterChip,spain,499,2575284,110898
44,@Rafinha,spain,255,2053035,1646
45,@pabloalboran,spain,2243,3717448,19329
46,@Rubiu5,spain,665,10768207,23347
47,@Wismichu,spain,468,2530541,55559
48,@DaniCarvajal92,spain,360,3010314,2143
49,@_MaluOficial_,spain,252,2509990,4678
50,@juanmata8,spain,567,7345375,2617
51,@D_DeGea,spain,192,10211394,1860
52,@mangelrogel,spain,781,5277151,46257
53,@SSantiagosegura,spain,1134,3486720,50382
54,@A3Noticias,spain,395,1671180,184257
55,@MelendiOficial,spain,239,1769957,13143
56,@Pontifex_es,spain,8,15842306,1408
57,@flofdezz,spain,206,1706763,10323
58,@elmundoes,spain,1348,3074912,173027
59,@Pablo_Iglesias_,spain,2521,2274245,17114
60,@Torres,spain,169,3609321,881
61,@marcmarquez93,spain,237,2348126,3386
62,@AbrahamMateo,spain,269,2827292,23148
63,@SergiRoberto10,spain,635,2005094,2394
64,@fifacom_es,spain,384,4523963,47429
65,@danimartinezweb,spain,567,2553494,26532
66,@SeFutbol,spain,203,2006658,29918
67,@taniarin,spain,1166,2262682,16265
68,@3gerardpique,spain,557,17582939,2521
69,@LaLiga,spain,813,3380746,95821
70,@MarcBartra,spain,692,2582008,2757
71,@alo_oficial,spain,91,2547339,6054
72,@ActualidadRT,spain,77,2840299,438263
73,@LuzuVlogs,spain,181,3411227,17921
74,@Cosmopolitan_es,spain,1196,1924735,74408
75,@ristomejide,spain,1379,2869033,27989
76,@CesarAzpi,spain,199,1776532,669
77,@ctello91,spain,225,1947677,916
78,@_anapastor_,spain,701,2002437,102229
79,@muyinteresante,spain,581,8366229,133651
80,@realmadriden,spain,52,9428064,34705
81,@Atleti,spain,56,3824698,52541
82,@mundodeportivo,spain,966,2403131,256758
83,@JordiAlba,spain,279,2062852,515
84,@Buenafuente,spain,1884,3610679,12960
85,@policia,spain,0,3103386,23446
86,@FCBarcelona_cat,spain,72,5687977,82874
87,@WillyrexYT,spain,226,5056801,33985
88,@cesc4official,spain,158,9729053,3460
89,@XabiAlonso,spain,527,11672689,590
90,@FCBarcelona,spain,72,27128936,92418
91,@SergioRamos,spain,727,13791185,3484
92,@GUTY14HAZ,spain,142,1745724,9049
93,@BoseOfficial,spain,133,2812784,2492
94,@ElJuanpaZurita,spain,2781,4251618,19361
95,@21LVA,spain,241,3706486,774
96,@VogueSpain,spain,373,2723144,48908
97,@andresiniesta8,spain,74,21146355,1646
98,@TownGamePlay,spain,299,2497336,101505
99,@llorentefer19,spain,541,2069395,1113
