Id,Label,Country,Following,Followers,Tweets
0,@jamieoliver,united_kingdom,4379,7010997,25250
1,@BBCNews,united_kingdom,99,9143730,344218
2,@themichaelowen,united_kingdom,790,3860222,13051
3,@Wimbledon,united_kingdom,368,3481205,23408
4,@BritishVogue,united_kingdom,1704,3597346,283455
5,@SoVeryBritish,united_kingdom,1,3460248,3473
6,@wossy,united_kingdom,8469,5406866,24660
7,@ManUtd,united_kingdom,105,16922866,43487
8,@jimmycarr,united_kingdom,321,6951334,3563
9,@hollywills,united_kingdom,280,7467313,6174
10,@ollyofficial,united_kingdom,2983,7861443,19723
11,@IanMcKellen,united_kingdom,637,3846405,1896
12,@TheVampsband,united_kingdom,48232,4241969,21982
13,@Caradelevingne,united_kingdom,1046,10249059,7396
14,@PaulMcCartney,united_kingdom,16,3794738,4224
15,@richardbranson,united_kingdom,3848,12111329,19045
16,@rickygervais,united_kingdom,1224,12982855,47409
17,@WayneRooney,united_kingdom,444,16969232,2244
18,@ChelseaFC,united_kingdom,261,11488835,77528
19,@ceracoat,united_kingdom,1448,3462370,3974
20,@elliegoulding,united_kingdom,570,7355126,18962
21,@Slash,united_kingdom,713,3751241,9564
22,@CalvinHarris,united_kingdom,3538,13283835,673
23,@Joe_Sugg,united_kingdom,2647,5534543,21791
24,@michkeegan,united_kingdom,486,3739783,10685
25,@simonpegg,united_kingdom,0,6530902,15886
26,@coldplay,united_kingdom,1515,25490941,7235
27,@SkyNews,united_kingdom,12,4488896,279201
28,@RoyalFamily,united_kingdom,515,3446869,27090
29,@GordonRamsay,united_kingdom,34216,6504781,20202
30,@JessieJ,united_kingdom,125,9057888,20411
31,@JeremyClarkson,united_kingdom,179,7162094,5763
32,@GemmaAnneStyles,united_kingdom,850,3557943,8972
33,@JohnCleese,united_kingdom,196,5738737,4581
34,@KSIOlajidebt,united_kingdom,655,3921952,318
35,@piersmorgan,united_kingdom,1618,6335205,110961
36,@EmmaWatson,united_kingdom,383,28329978,1613
37,@iamjohnoliver,united_kingdom,102,4768056,361
38,@SkySportsNews,united_kingdom,102,5829892,68920
39,@GNev2,united_kingdom,674,3915977,12204
40,@ChrisMoyles,united_kingdom,199,3959075,12560
41,@CherylOfficial,united_kingdom,952,6411472,6512
42,@premierleague,united_kingdom,77,17098230,88018
43,@GaryBarlow,united_kingdom,4113,4486881,13177
44,@MarcusButler,united_kingdom,494,3562421,18020
45,@lemontwittor,united_kingdom,3302,3695411,69624
46,@JohnBishop100,united_kingdom,493,3703264,9520
47,@LFC,united_kingdom,385677,9574807,68733
48,@Zoella,united_kingdom,527,12657557,42110
49,@guardian,united_kingdom,1109,7010749,407377
50,@AlanCarr,united_kingdom,708,5266036,16048
51,@Tate,united_kingdom,1225,4763595,14345
52,@Harry_Styles,united_kingdom,2043,31660956,5404
53,@rustyrockets,united_kingdom,366,12285175,10374
54,@rioferdy5,united_kingdom,568,9933287,18204
55,@Number10gov,united_kingdom,787,5506395,11972
56,@JoeyEssex_,united_kingdom,394,3592294,23243
57,@SkySportsPL,united_kingdom,832,3613040,130862
58,@zaynmalik,united_kingdom,2259,26407405,3416
59,@victoriabeckham,united_kingdom,56,13060836,3371
60,@jackwhitehall,united_kingdom,681,5896967,9078
61,@Louis_Tomlinson,united_kingdom,3826,32364379,6388
62,@Adele,united_kingdom,156,28943388,301
63,@SkySports,united_kingdom,506,4665636,158344
64,@andy_murray,united_kingdom,136,3718554,2836
65,@danielhowell,united_kingdom,759,7691299,16215
66,@ManCity,united_kingdom,54788,5730509,108637
67,@LittleMix,united_kingdom,30816,11244650,30170
68,@lilyallen,united_kingdom,2051,5943950,28355
69,@SimonCowell,united_kingdom,2756,12618170,1854
70,@Camila_Cabello,united_kingdom,16745,5897046,11327
71,@stephenfry,united_kingdom,50415,13040146,22632
72,@BBCWorld,united_kingdom,85,22437100,272125
73,@LewisHamilton,united_kingdom,824,5257029,11
74,@thebeatles,united_kingdom,366317,3621513,2695
75,@PointlessBlog,united_kingdom,353,5604347,19611
76,@TheXFactor,united_kingdom,26052,7144998,36326
77,@jk_rowling,united_kingdom,550,13975866,9630
78,@antanddec,united_kingdom,661,6765452,13948
79,@GaryLineker,united_kingdom,919,6883066,25465
80,@JKCorden,united_kingdom,2182,10199253,11078
81,@CherLloyd,united_kingdom,11190,7642348,5860
82,@Lord_Sugar,united_kingdom,2122,5449204,44995
83,@FinancialTimes,united_kingdom,819,5970242,217938
84,@GarethBale11,united_kingdom,113,16184936,1322
85,@BBCBreaking,united_kingdom,3,36792977,33775
86,@eddieizzard,united_kingdom,618,4766641,8089
87,@Arsenal,united_kingdom,157334,12859109,77882
88,@LiamPayne,united_kingdom,16534,31425102,10045
89,@Reuters,united_kingdom,1067,19310795,240737
90,@Schofe,united_kingdom,12758,4468025,33121
91,@edsheeran,united_kingdom,0,20397576,29301
92,@onedirection,united_kingdom,3911,31794978,9899
93,@DesignMuseum,united_kingdom,2380,4358187,15532
94,@RitaOra,united_kingdom,1738,6717872,11577
95,@samsmithworld,united_kingdom,1296,6404969,13144
96,@JoshDevineDrums,united_kingdom,11201,3664697,10914
97,@BBCSport,united_kingdom,280,7192572,317253
98,@officialtulisa,united_kingdom,2463,3545903,8707
99,@Fearnecotton,united_kingdom,574,7475801,19914
