Id,Source,Target

0,0,737
1,1,763
2,1,918
3,2,452
4,3,251
5,6,95
6,6,405
7,6,526
8,6,709
9,7,789
10,8,690
11,10,234
12,10,501
13,11,981
14,12,594
15,13,626
16,17,359
17,18,127
18,18,445
19,18,834
20,21,429
21,26,765
22,28,78
23,29,142
24,32,299
25,32,601
26,32,728
27,33,667
28,34,411
29,36,323
30,37,325
31,37,813
32,38,838
33,40,676
34,41,436
35,43,656
36,44,168
37,44,291
38,45,771
39,45,931
40,45,965
41,47,379
42,47,832
43,49,890
44,50,886
45,51,314
46,51,419
47,51,477
48,51,602
49,54,438
50,54,517
51,55,894
52,55,911
53,56,794
54,57,76
55,57,370
56,57,478
57,57,681
58,60,91
59,61,513
60,62,295
61,62,341
62,63,374
63,63,820
64,64,125
65,65,452
66,65,851
67,65,977
68,66,568
69,67,245
70,71,318
71,71,485
72,74,333
73,74,579
74,74,853
75,74,945
76,74,978
77,76,195
78,78,307
79,78,843
80,80,538
81,80,833
82,81,851
83,82,824
84,85,820
85,88,490
86,90,648
87,91,119
88,92,785
89,96,309
90,97,516
91,99,258
92,99,420
93,99,836
94,100,384
95,101,594
96,101,693
97,102,181
98,102,795
99,102,894
100,103,837
101,104,559
102,104,639
103,104,805
104,104,905
105,108,576
106,111,300
107,111,389
108,112,304
109,112,903
110,112,974
111,115,249
112,115,728
113,115,893
114,115,945
115,116,817
116,117,123
117,117,638
118,117,914
119,119,776
120,122,494
121,122,560
122,123,333
123,124,785
124,125,135
125,125,555
126,125,843
127,126,252
128,126,666
129,126,773
130,126,974
131,128,635
132,129,738
133,129,968
134,132,835
135,134,357
136,134,804
137,134,870
138,135,716
139,138,768
140,142,725
141,144,906
142,147,975
143,149,177
144,149,877
145,150,849
146,151,222
147,151,281
148,154,926
149,155,535
150,155,677
151,156,631
152,159,167
153,159,425
154,161,793
155,163,929
156,166,923
157,167,250
158,171,412
159,171,732
160,172,293
161,173,591
162,174,762
163,175,969
164,177,447
165,178,237
166,178,543
167,178,588
168,179,471
169,180,351
170,181,593
171,182,597
172,183,976
173,185,308
174,185,993
175,186,681
176,188,431
177,188,921
178,193,643
179,193,980
180,194,293
181,194,887
182,195,848
183,196,788
184,197,256
185,199,208
186,201,382
187,201,835
188,202,968
189,203,894
190,211,397
191,214,226
192,214,249
193,214,641
194,214,765
195,216,494
196,218,469
197,218,701
198,219,806
199,220,269
200,222,429
201,225,672
202,225,868
203,226,255
204,226,303
205,231,625
206,233,873
207,234,578
208,235,974
209,238,335
210,238,821
211,238,872
212,240,265
213,242,765
214,244,886
215,244,972
216,245,529
217,247,388
218,248,734
219,248,795
220,252,586
221,253,332
222,254,708
223,255,774
224,256,270
225,257,413
226,258,372
227,258,513
228,259,659
229,263,399
230,263,448
231,266,440
232,266,694
233,269,330
234,269,683
235,269,806
236,272,466
237,274,360
238,274,920
239,275,513
240,276,535
241,276,883
242,278,485
243,278,648
244,282,827
245,282,931
246,283,513
247,284,492
248,286,627
249,286,714
250,289,613
251,292,411
252,292,424
253,292,711
254,292,847
255,295,449
256,295,651
257,295,738
258,295,927
259,298,722
260,298,769
261,299,516
262,303,655
263,305,728
264,309,589
265,310,402
266,317,974
267,318,713
268,319,454
269,319,739
270,323,582
271,323,795
272,324,961
273,326,474
274,327,708
275,329,887
276,332,625
277,333,757
278,333,799
279,335,597
280,336,439
281,338,769
282,341,543
283,342,776
284,342,904
285,344,856
286,344,895
287,345,764
288,345,946
289,346,742
290,347,974
291,349,425
292,350,839
293,355,521
294,355,613
295,356,832
296,358,739
297,359,623
298,359,633
299,362,847
300,362,879
301,364,429
302,364,709
303,369,984
304,370,576
305,370,806
306,371,471
307,371,990
308,373,391
309,373,628
310,375,651
311,376,423
312,377,583
313,379,778
314,382,539
315,384,920
316,386,901
317,387,462
318,387,606
319,387,637
320,387,982
321,388,437
322,389,632
323,391,758
324,392,886
325,393,910
326,394,813
327,397,435
328,397,714
329,397,775
330,399,908
331,400,422
332,400,473
333,401,745
334,402,679
335,406,706
336,409,470
337,411,540
338,415,697
339,416,636
340,416,656
341,416,658
342,418,522
343,420,559
344,420,874
345,421,556
346,423,708
347,424,660
348,426,485
349,431,491
350,431,818
351,432,784
352,435,740
353,439,976
354,441,896
