Id,Source,Target

0,0,582
1,0,760
2,0,1172
3,0,1743
4,0,3302
5,0,3400
6,0,4172
7,0,4561
8,0,4570
9,0,4794
10,1,620
11,1,1393
12,1,1547
13,1,2108
14,1,2643
15,1,2697
16,1,3871
17,1,3925
18,1,4671
19,2,656
20,2,674
21,2,1324
22,2,1444
23,2,1892
24,2,2016
25,2,2320
26,2,2821
27,2,3147
28,2,3629
29,2,4380
30,3,617
31,3,763
32,3,1059
33,3,1082
34,3,1334
35,3,1658
36,3,1677
37,3,2129
38,3,2675
39,3,2747
40,3,2811
41,3,3066
42,3,3319
43,3,3470
44,3,3474
45,3,3517
46,3,4148
47,4,525
48,4,919
49,4,1139
50,4,2138
51,4,2309
52,4,2638
53,4,2982
54,4,3057
55,4,3264
56,4,3439
57,4,3522
58,4,3826
59,4,3997
60,4,4038
61,4,4083
62,4,4087
63,4,4169
64,4,4687
65,5,387
66,5,913
67,5,1647
68,5,1675
69,5,2243
70,5,2440
71,5,2880
72,5,3202
73,5,3405
74,5,3485
75,5,3591
76,5,3831
77,5,4766
78,6,446
79,6,986
80,6,1011
81,6,1479
82,6,1525
83,6,1999
84,6,3657
85,6,3881
86,6,3991
87,6,4686
88,6,4935
89,6,4997
90,7,896
91,7,1272
92,7,1275
93,7,2216
94,7,2675
95,7,2914
96,7,2950
97,7,3683
98,7,4676
99,7,4993
100,8,69
101,8,182
102,8,620
103,8,630
104,8,666
105,8,714
106,8,2498
107,8,2700
108,8,2764
109,8,2776
110,8,3212
111,8,3883
112,8,4163
113,9,28
114,9,1161
115,9,1464
116,9,1914
117,9,2083
118,9,2285
119,9,2474
120,9,4152
121,9,4398
122,9,4718
123,10,1031
124,10,1416
125,10,2055
126,10,2503
127,10,2991
128,10,3247
129,10,3377
130,10,3776
131,10,4158
132,10,4928
133,11,512
134,11,610
135,11,655
136,11,886
137,11,4044
138,11,4095
139,11,4805
140,11,4889
141,12,848
142,12,1283
143,12,1894
144,12,2013
145,12,3346
146,12,3685
147,12,4012
148,12,4042
149,12,4240
150,12,4684
151,13,306
152,13,940
153,13,1288
154,13,1486
155,13,1514
156,13,1635
157,13,1845
158,13,2312
159,13,2376
160,13,3302
161,13,4012
162,13,4090
163,14,2640
164,14,2685
165,14,3147
166,14,3429
167,14,3991
168,14,4081
169,14,4188
170,14,4527
171,14,4726
172,15,64
173,15,594
174,15,789
175,15,860
176,15,1224
177,15,1854
178,15,1920
179,15,3011
180,15,3398
181,15,3567
182,15,4051
183,15,4467
184,15,4726
185,16,692
186,16,1914
187,16,2628
188,16,3054
189,16,4547
190,17,477
191,17,1198
192,17,1200
193,17,1213
194,17,1216
195,17,1767
196,17,1817
197,17,1961
198,17,3522
199,17,4213
200,17,4270
201,17,4469
202,18,868
203,18,2528
204,18,4021
205,18,4313
206,18,4679
207,19,840
208,19,910
209,19,1381
210,19,1822
211,19,2176
212,19,2263
213,19,2888
214,19,2948
215,19,3031
216,19,3495
217,19,4515
218,19,4831
219,20,150
220,20,626
221,20,880
222,20,1069
223,20,1498
224,20,1816
225,20,2247
226,20,3716
227,20,4191
228,20,4316
229,21,430
230,21,1165
231,21,1225
232,21,1643
233,21,1886
234,21,2257
235,21,3382
236,21,4147
237,21,4231
238,21,4647
239,21,4771
240,21,4864
241,21,4906
242,21,4989
243,22,1225
244,22,1361
245,22,1446
246,22,2018
247,22,2025
248,22,2042
249,22,2082
250,22,2726
251,22,3812
252,23,615
253,23,922
254,23,1632
255,23,1767
256,23,2117
257,23,2292
258,23,2869
259,23,2949
260,23,2971
261,23,3379
262,23,4572
263,24,127
264,24,520
265,24,1197
266,24,1849
267,24,3745
268,24,4961
269,25,349
270,25,412
271,25,416
272,25,530
273,25,1106
274,25,1281
275,25,1562
276,25,1656
277,25,2412
278,25,3096
279,25,3493
280,25,3533
281,25,3718
282,25,4608
283,26,938
284,26,1400
285,26,2750
286,26,2775
287,26,3373
288,26,3717
289,26,4231
290,26,4269
291,26,4581
292,27,432
293,27,485
294,27,1360
295,27,1835
296,27,2028
297,27,2110
298,27,2645
299,27,2758
300,27,2844
301,27,3395
302,27,3487
303,27,4660
304,28,126
305,28,1583
306,28,1784
307,28,2187
308,28,2237
309,28,2543
310,28,3549
311,28,3711
312,28,4231
313,28,4511
314,28,4729
315,29,228
316,29,390
317,29,1052
318,29,1104
319,29,1296
320,29,1353
321,29,1379
322,29,1482
323,29,2410
324,29,2556
325,29,2837
326,29,2977
327,29,3896
328,29,4911
329,30,1430
330,30,1862
331,30,2437
332,30,3459
333,30,4730
334,31,45
335,31,510
336,31,635
337,31,783
338,31,984
339,31,1088
340,31,1108
341,31,2352
342,31,2871
343,31,3258
344,31,3474
345,31,3690
346,31,3817
347,31,4263
348,31,4341
349,31,4891
350,32,107
351,32,117
352,32,570
353,32,1273
354,32,1590
355,32,1839
356,32,4163
357,32,4471
358,32,4585
359,32,4631
360,32,4890
361,33,217
362,33,220
363,33,287
364,33,398
365,33,1323
366,33,1438
367,33,1494
368,33,1730
369,33,1880
370,33,2335
371,33,2611
372,33,2691
373,33,2750
374,33,2863
375,33,3095
376,33,3265
377,33,3882
378,33,4107
379,33,4152
380,33,4368
381,34,761
382,34,1426
383,34,1782
384,34,1793
385,34,2295
386,34,2475
387,34,2484
388,34,2566
389,34,2855
390,34,3041
391,34,3153
392,34,3474
393,34,3817
394,34,4414
395,35,548
396,35,794
397,35,1650
398,35,1782
399,35,3182
400,35,3395
401,35,3466
402,35,3605
403,35,3749
404,35,3885
405,35,4637
406,36,507
407,36,854
408,36,935
409,36,1232
410,36,2924
411,36,2996
412,36,3705
413,36,3726
414,36,3957
415,37,486
416,37,1207
417,37,1811
418,37,2897
419,37,3255
420,37,3939
421,37,4392
422,37,4407
423,38,509
424,38,635
425,38,2999
426,38,3115
427,38,3296
428,38,3428
429,38,3859
430,38,4578
431,39,88
432,39,117
433,39,849
434,39,2957
435,39,4190
436,39,4619
437,40,349
438,40,1040
439,40,1154
440,40,1160
441,40,2229
442,40,2336
443,40,2569
444,40,2739
445,40,3256
446,40,3498
447,40,3583
448,40,3869
449,40,3875
450,41,62
451,41,173
452,41,874
453,41,1417
454,41,2439
455,41,2606
456,41,2983
457,41,3296
458,41,4072
459,41,4871
460,41,4876
461,41,4969
462,42,160
463,42,161
464,42,167
465,42,264
466,42,464
467,42,584
468,42,597
469,42,1067
470,42,1335
471,42,2273
472,42,3237
473,42,3428
474,42,4681
475,43,320
476,43,1144
477,43,1347
478,43,2850
479,43,3373
480,43,3581
481,43,4231
482,44,1221
483,44,1455
484,44,1976
485,44,2206
486,44,3698
487,44,3877
488,44,4037
489,45,881
490,45,1075
491,45,1296
492,45,1492
493,45,4197
494,46,999
495,46,1264
496,46,2194
497,46,2402
498,46,2558
499,46,2664
500,46,3140
501,46,4832
502,47,392
503,47,1917
504,47,1966
505,47,2019
506,47,2497
507,47,2708
508,48,93
509,48,222
510,48,236
511,48,275
512,48,1003
513,48,2069
514,48,2554
515,48,3143
516,48,3839
517,48,4242
518,48,4414
519,48,4549
520,48,4606
521,48,4952
522,49,406
523,49,1358
524,49,1579
525,49,2556
526,49,3013
527,49,3181
528,49,3496
529,49,3563
530,49,3780
531,49,3952
532,50,164
533,50,849
534,50,967
535,50,1374
536,50,1780
537,50,2332
538,50,2504
539,50,2699
540,50,2947
541,50,3475
542,50,4110
543,50,4208
544,50,4391
545,50,4541
546,50,4767
547,50,4985
548,51,839
549,51,980
550,51,2499
551,51,3254
552,51,3696
553,51,4044
554,51,4172
555,51,4641
556,51,4969
557,52,438
558,52,931
559,52,1557
560,52,1881
561,52,2291
562,52,2656
563,52,2727
564,52,4477
565,52,4930
566,53,471
567,53,730
568,53,1753
569,53,1757
570,53,2735
571,53,2925
572,53,3510
573,54,475
574,54,1282
575,54,1743
576,54,1918
577,54,3543
578,54,3979
579,55,464
580,55,579
581,55,1230
582,55,1312
583,55,1333
584,55,2216
585,55,3274
586,55,3643
587,56,211
588,56,324
589,56,338
590,56,366
591,56,420
592,56,861
593,56,1109
594,56,1237
595,56,1894
596,56,2455
597,56,3111
598,56,3269
599,56,3344
600,56,3677
601,56,4744
602,56,4790
603,56,4849
604,57,876
605,57,936
606,57,1729
607,57,2354
608,57,2516
609,57,2677
610,57,2834
611,57,2963
612,57,3702
613,57,3754
614,58,704
615,58,1482
616,58,1729
617,58,1766
618,58,2844
619,58,3074
620,58,3101
621,58,3339
622,58,3721
623,58,4413
624,58,4681
625,58,4854
626,59,715
627,59,1088
628,59,1157
629,59,1444
630,59,2050
631,59,2077
632,59,2085
633,59,2300
634,59,2774
635,59,3093
636,59,3761
637,60,211
638,60,444
639,60,1225
640,60,2080
641,60,2499
642,60,2522
643,60,2690
644,60,3518
645,60,4446
646,60,4954
647,61,167
648,61,275
649,61,1414
650,61,1645
651,61,2746
652,61,3043
653,61,3445
654,61,3771
655,61,3857
656,62,196
657,62,1992
658,62,2368
659,62,2819
660,62,3725
661,62,4419
662,62,4680
663,63,86
664,63,199
665,63,964
666,63,1352
667,63,1419
668,63,1598
669,63,1600
670,63,3920
671,63,4555
672,63,4864
673,64,190
674,64,948
675,64,1314
676,64,1327
677,64,1670
678,64,1974
679,64,3643
680,64,4790
681,65,520
682,65,1107
683,65,1200
684,65,1236
685,65,1311
686,65,1972
687,65,2849
688,65,2937
689,65,3260
690,65,4474
691,66,958
692,66,1045
693,66,1573
694,66,1762
695,66,3429
696,66,3755
697,66,3947
698,66,4556
699,67,593
700,67,1683
701,67,1971
702,67,2442
703,67,3051
704,67,3379
705,67,4428
706,67,4517
707,67,4650
708,68,2985
709,68,3748
710,68,4889
711,69,164
712,69,200
713,69,248
714,69,1005
715,69,1028
716,69,2121
717,69,2831
718,69,4147
719,69,4273
720,69,4333
721,69,4375
722,69,4740
723,70,147
724,70,1121
725,70,1285
726,70,1391
727,70,1790
728,70,1970
729,70,1992
730,70,2347
731,70,2447
732,70,2812
733,70,3255
734,70,4009
735,70,4419
736,71,631
737,71,980
738,71,1140
739,71,1416
740,71,1822
741,71,1871
742,71,2695
743,71,3371
744,71,3449
745,71,3708
746,72,128
747,72,246
748,72,1393
749,72,1440
750,72,2095
751,72,2611
752,73,269
753,73,984
754,73,2211
755,73,2283
756,73,3674
757,73,4810
758,74,150
759,74,252
760,74,491
761,74,3207
762,74,3269
763,74,4561
764,75,399
765,75,2080
766,75,2812
767,75,3254
768,75,3539
769,75,3711
770,75,4410
771,75,4517
772,75,4582
773,75,4701
774,76,692
775,76,1522
776,76,1879
777,76,3325
778,76,3353
779,76,3406
780,76,3446
781,76,3582
782,76,4580
783,77,421
784,77,2521
785,77,4081
786,77,4167
787,77,4349
788,77,4945
789,78,2164
790,78,3213
791,78,3318
792,78,3345
793,78,4575
794,79,440
795,79,1007
796,79,1707
797,79,3588
798,79,3897
799,79,3999
800,79,4806
801,79,4924
802,80,241
803,80,425
804,80,1634
805,80,1756
806,80,2017
807,80,2673
808,80,3042
809,80,3235
810,80,3622
811,81,128
812,81,499
813,81,1670
814,81,1925
815,81,2381
816,81,2802
817,81,3081
818,81,4597
819,81,4947
820,82,788
821,82,1094
822,82,1291
823,82,3539
824,82,4300
825,82,4627
826,83,121
827,83,152
828,83,1292
829,83,1485
830,83,1497
831,83,1701
832,83,1851
833,83,2634
834,83,2757
835,83,2829
836,83,4407
837,83,4541
838,83,4959
839,84,211
840,84,398
841,84,599
842,84,1003
843,84,1009
844,84,1239
845,84,1481
846,84,3241
847,84,3545
848,84,3943
849,85,452
850,85,460
851,85,828
852,85,1101
853,85,1377
854,85,3292
855,85,3786
856,85,3911
857,85,4486
858,85,4632
859,85,4654
860,85,4811
861,86,207
862,86,358
863,86,771
864,86,894
865,86,909
866,86,1292
867,86,2878
868,86,2942
869,86,3066
870,86,3528
871,86,3573
872,86,3584
873,86,4303
874,87,118
875,87,178
876,87,638
877,87,796
878,87,1660
879,87,1959
880,87,3589
881,87,4367
882,87,4383
883,87,4392
884,88,122
885,88,245
886,88,1423
887,88,1470
888,88,3466
889,88,3974
890,88,4455
891,88,4579
892,88,4997
