Id,Source,Target

0,0,218
1,0,788
2,0,2633
3,0,4418
4,1,433
5,1,3143
6,1,3260
7,1,3619
8,1,3857
9,2,1859
10,2,2521
11,2,3687
12,3,455
13,3,1031
14,3,1515
15,3,2018
16,3,2295
17,3,4999
18,4,1747
19,4,1836
20,4,2166
21,4,2666
22,4,3437
23,4,4465
24,5,1026
25,5,1804
26,5,2592
27,5,2618
28,5,3285
29,5,3949
30,6,537
31,6,681
32,6,868
33,6,1785
34,6,4604
35,7,713
36,7,4866
37,8,436
38,8,1304
39,8,1575
40,9,2550
41,9,2820
42,9,3302
43,9,4331
44,9,4840
45,10,1184
46,10,1918
47,10,4013
48,10,4527
49,11,895
50,11,4869
51,12,1845
52,12,3142
53,13,295
54,13,738
55,13,1160
56,13,1861
57,13,2468
58,13,4006
59,14,2875
60,14,3559
61,14,3807
62,14,4450
63,14,4960
64,15,327
65,15,1360
66,15,3079
67,16,608
68,16,690
69,16,909
70,16,1604
71,16,4225
72,16,4237
73,16,4771
74,17,84
75,17,1110
76,17,2545
77,17,2553
78,17,3717
79,17,4308
80,18,1642
81,18,3866
82,18,4310
83,19,1909
84,19,4321
85,19,4921
86,20,98
87,20,3589
88,20,4116
89,21,1742
90,21,1909
91,21,2581
92,21,3215
93,21,3275
94,21,4069
95,22,866
96,22,3461
97,22,3496
98,23,872
99,23,1575
100,23,3274
101,23,4524
102,24,3705
103,24,4118
104,24,4864
105,25,1029
106,25,1507
107,25,2517
108,25,2608
109,25,2959
110,25,3533
111,26,1013
112,26,1881
113,26,2646
114,26,2647
115,26,3513
116,27,2215
117,27,3470
118,28,926
119,28,1339
120,28,1816
121,28,3793
122,28,4320
123,28,4653
124,29,262
125,29,1887
126,29,3986
127,29,4156
128,29,4610
129,30,596
130,30,2129
131,30,2911
132,30,3270
133,30,3336
134,30,4448
135,31,2158
136,31,2349
137,31,3531
138,31,3889
139,31,4908
140,32,100
141,32,138
142,32,845
143,32,1153
144,32,2012
145,32,2169
146,32,2839
147,32,3713
148,32,4515
149,32,4789
150,33,726
151,33,1023
152,33,1830
153,33,1959
154,33,3477
155,33,3552
156,33,4030
157,34,414
158,34,867
159,34,1934
160,34,3197
161,34,3569
162,34,4040
163,35,281
164,35,825
165,35,4453
166,36,494
167,36,566
168,36,2382
169,36,2485
170,36,3198
171,36,3381
172,36,3509
173,36,4532
174,36,4736
175,37,710
176,37,964
177,37,1101
178,37,1988
179,37,3411
180,38,1045
181,38,1557
182,38,2030
183,38,2768
184,38,4615
185,39,556
186,39,1461
187,39,1609
188,39,3348
189,39,4589
190,39,4838
191,39,4924
192,40,1074
193,40,2538
194,40,2665
195,40,2784
196,40,3067
197,40,3256
198,40,3825
199,40,4467
200,41,211
201,42,1218
202,42,2109
203,42,2292
204,42,3966
205,42,4299
206,43,673
207,44,2295
208,44,3644
209,44,3771
210,45,510
211,45,1199
212,45,3334
213,45,4085
214,45,4925
215,46,116
216,46,3191
217,47,48
218,47,303
219,47,736
220,47,1962
221,47,2665
222,47,3382
223,48,51
224,48,348
225,48,490
226,48,2559
227,48,3300
228,48,3960
229,48,4223
230,48,4379
231,48,4538
232,49,2081
233,49,2830
234,49,4036
235,50,4698
236,51,2131
237,51,2751
238,51,3966
239,51,4685
240,52,1122
241,52,4469
242,52,4876
243,53,222
244,53,537
245,53,859
246,53,4737
247,54,2322
248,54,4298
