Id,Source,Target

0,0,123
1,0,147
2,0,149
3,0,168
4,0,350
5,0,390
6,0,438
7,0,490
8,1,111
9,1,132
10,1,135
11,1,161
12,1,184
13,1,198
14,1,222
15,1,238
16,1,252
17,1,306
18,2,175
19,2,184
20,2,196
21,2,250
22,2,271
23,2,312
24,2,349
25,2,394
26,2,438
27,2,476
28,2,496
29,3,125
30,3,137
31,3,142
32,3,179
33,3,306
34,3,377
35,3,437
36,3,456
37,3,463
38,4,96
39,4,104
40,4,177
41,4,179
42,4,195
43,4,200
44,4,225
45,4,400
46,5,102
47,5,158
48,5,167
49,5,236
50,5,259
51,5,281
52,5,283
53,5,339
54,5,383
55,5,418
56,5,421
57,5,498
58,6,22
59,6,67
60,6,151
61,6,161
62,6,204
63,6,238
64,6,303
65,6,310
66,6,328
67,6,336
68,6,343
69,6,432
70,6,478
71,7,123
72,7,243
73,7,279
74,7,304
75,7,317
76,7,410
77,7,431
78,8,24
79,8,30
80,8,239
81,8,250
82,8,379
83,8,412
84,8,422
85,9,15
86,9,54
87,9,94
88,9,190
89,9,222
90,9,226
91,9,232
92,9,399
93,9,432
94,9,450
95,9,492
96,10,80
97,10,97
98,10,141
99,10,147
100,10,275
101,10,326
102,10,330
103,10,345
104,10,367
105,10,388
106,10,456
107,10,499
108,11,16
109,11,62
110,11,128
111,11,142
112,11,181
113,11,245
114,11,322
115,11,417
116,11,421
117,11,422
118,11,449
119,12,20
120,12,28
121,12,94
122,12,116
123,12,188
124,12,198
125,12,230
126,12,394
127,12,431
128,13,55
129,13,56
130,13,57
131,13,103
132,13,111
133,13,173
134,13,199
135,13,246
136,13,274
137,13,313
138,13,319
139,13,327
140,13,347
141,13,401
142,13,405
143,13,453
144,13,498
145,14,80
146,14,86
147,14,103
148,14,254
149,14,286
150,14,315
151,14,317
152,14,341
153,14,400
154,14,431
155,14,478
156,15,62
157,15,116
158,15,130
159,15,158
160,15,268
161,15,302
162,15,413
163,15,491
164,15,492
165,15,496
166,16,44
167,16,57
168,16,111
169,16,199
170,16,202
171,16,227
172,16,336
173,16,360
174,16,385
175,17,26
176,17,95
177,17,136
178,17,149
179,17,240
180,17,268
181,17,299
182,17,430
183,17,469
184,18,124
185,18,221
186,18,226
187,18,237
188,18,254
189,18,315
190,18,349
191,19,121
192,19,200
193,19,205
194,19,271
195,19,275
196,19,395
197,19,401
198,19,424
199,19,432
200,19,437
201,19,466
202,20,21
203,20,72
204,20,148
205,20,156
206,20,238
207,20,244
208,20,307
209,20,347
210,20,393
211,20,433
212,20,464
213,20,468
214,20,482
215,21,27
216,21,41
217,21,97
218,21,180
219,21,249
220,21,267
221,21,284
222,21,292
223,21,315
224,21,339
225,21,404
226,21,454
227,21,469
228,21,473
229,21,478
230,22,52
231,22,82
232,22,111
233,22,203
234,22,263
235,22,311
236,22,428
237,22,439
238,23,40
239,23,156
240,23,194
241,23,202
242,23,251
243,23,386
244,23,391
245,24,67
246,24,109
247,24,133
248,24,161
249,24,290
250,24,298
251,24,333
252,24,368
253,24,456
254,25,76
255,25,107
256,25,141
257,25,170
258,25,205
259,25,213
260,25,225
261,25,285
262,25,292
263,25,318
264,26,122
265,26,180
266,26,183
267,26,185
268,26,236
269,26,329
270,26,336
271,26,380
272,26,440
273,26,452
274,26,473
275,27,40
276,27,74
277,27,191
278,27,217
279,27,403
280,28,29
281,28,197
282,28,269
283,28,283
284,28,312
285,28,356
286,29,68
287,29,76
288,29,83
289,29,112
290,29,143
291,29,271
292,29,318
293,29,330
294,29,424
295,29,497
296,30,31
297,30,76
298,30,86
299,30,115
300,30,198
301,30,209
302,30,241
303,30,261
304,30,262
305,30,265
306,30,275
307,30,279
308,30,303
309,30,342
310,30,379
311,30,485
312,31,38
313,31,62
314,31,89
315,31,101
316,31,125
317,31,155
318,31,166
319,31,172
320,31,252
321,31,321
322,31,390
323,31,435
324,32,37
325,32,81
326,32,84
327,32,142
328,32,207
329,32,370
330,32,481
331,32,490
332,33,65
333,33,114
334,33,223
335,33,264
336,33,307
337,33,336
338,33,343
339,33,353
340,33,371
341,33,394
342,33,418
343,33,420
344,33,442
345,33,483
346,34,57
347,34,77
348,34,127
349,34,312
350,34,445
351,35,97
352,35,197
353,35,332
354,35,370
355,35,474
356,36,43
357,36,80
358,36,121
359,36,123
360,36,138
361,36,209
362,36,242
363,36,380
364,36,383
365,36,389
366,36,399
367,36,470
368,36,485
369,37,82
370,37,102
371,37,147
372,37,156
373,37,191
374,37,222
375,37,267
376,37,320
377,37,329
378,37,473
379,38,232
380,38,249
381,38,322
382,39,123
383,39,157
384,39,352
385,39,401
386,39,440
387,40,67
388,40,95
389,40,116
390,40,155
391,40,208
392,40,314
393,40,442
394,41,110
395,41,116
396,41,203
397,41,384
398,41,392
399,41,401
400,41,413
401,41,494
402,42,63
403,42,83
404,42,89
405,42,91
406,42,112
407,42,270
408,42,284
409,42,365
410,42,376
411,42,407
412,42,432
413,42,435
414,43,72
415,43,139
416,43,167
417,43,198
418,43,237
419,43,281
420,43,294
421,43,316
422,43,336
423,43,371
424,43,389
425,43,427
