Id,Source,Target

0,0,166
1,1,69
2,1,92
3,2,485
4,3,97
5,4,413
6,5,343
7,6,108
8,6,386
9,6,393
10,8,74
11,8,223
12,8,290
13,9,307
14,10,144
15,11,156
16,12,16
17,15,268
18,15,364
19,17,414
20,18,333
21,18,336
22,19,497
23,20,90
24,20,375
25,23,121
26,25,303
27,25,341
28,25,437
29,25,459
30,26,133
31,26,352
32,27,178
33,27,222
34,28,404
35,29,71
36,29,330
37,30,36
38,30,330
39,30,409
40,33,62
41,34,207
42,34,303
43,35,309
44,37,216
45,38,227
46,38,233
47,38,237
48,38,335
49,39,171
50,39,191
51,39,377
52,43,77
53,43,208
54,44,269
55,45,110
56,46,323
57,47,149
58,47,218
59,47,298
60,48,388
61,52,123
62,53,132
63,54,96
64,56,318
65,56,481
66,59,154
67,59,283
68,60,246
69,60,367
70,61,130
71,61,205
72,62,420
73,64,409
74,65,411
75,66,78
76,66,116
77,68,222
78,68,270
79,71,156
80,71,418
81,72,421
82,73,471
83,74,263
84,74,367
85,84,155
86,86,116
87,86,276
88,86,300
89,88,166
90,89,268
91,89,390
92,89,403
93,90,329
94,92,434
95,93,275
96,94,452
97,95,487
98,98,469
99,100,320
100,102,194
101,102,450
102,105,145
103,107,358
104,108,324
105,108,479
106,109,180
107,109,209
108,109,215
109,110,220
110,110,499
111,111,270
112,111,395
113,113,335
114,114,117
115,114,150
116,118,291
117,121,420
118,121,448
119,122,215
120,122,332
121,125,192
122,126,232
123,127,410
124,128,184
125,129,300
126,129,301
127,135,416
128,135,457
129,136,187
130,136,452
131,137,318
132,139,351
133,140,208
134,140,265
135,141,398
136,143,368
137,143,407
138,143,448
139,150,177
140,150,492
141,151,342
142,151,379
143,152,278
144,154,457
145,154,472
146,154,492
147,156,407
148,157,244
149,157,413
150,162,488
151,165,418
152,166,486
153,169,465
154,171,427
155,172,318
156,173,242
157,174,255
158,176,290
159,176,332
160,176,489
161,177,336
162,178,212
163,178,331
164,178,497
165,179,318
166,180,307
167,180,498
168,181,304
169,186,319
170,187,213
171,188,254
172,189,472
173,193,217
174,195,226
175,197,384
176,198,244
177,199,222
178,200,418
179,203,494
180,205,225
181,205,328
182,206,329
183,207,294
184,210,498
185,214,382
186,220,491
187,221,234
188,221,305
189,222,419
190,226,359
191,227,252
192,228,354
193,230,362
194,236,269
195,238,298
196,239,393
197,241,308
198,242,317
199,242,344
200,245,485
201,247,383
202,249,372
203,251,261
204,252,377
205,254,461
206,261,298
207,262,284
208,263,341
209,271,417
210,275,286
211,275,323
212,275,410
213,276,432
214,277,316
215,282,446
216,286,456
217,292,376
218,294,299
219,294,331
220,296,336
221,298,365
222,299,361
223,300,330
224,301,425
225,308,386
226,309,374
227,311,462
228,312,377
229,316,442
230,317,340
231,320,352
232,322,402
233,322,427
234,328,370
235,332,444
236,332,455
237,340,459
238,341,459
239,343,438
240,350,368
241,350,449
242,350,450
243,360,388
244,360,472
245,364,487
246,366,370
247,371,399
248,372,405
249,384,473
250,385,476
251,395,430
252,397,439
253,403,498
254,420,467
255,420,472
256,424,447
257,427,466
258,447,473
259,456,495
260,464,491
261,467,468
262,467,490
