Id,Source,Target

0,0,14
1,0,159
2,0,168
3,0,173
4,0,340
5,0,396
6,1,10
7,1,12
8,1,402
9,2,78
10,2,118
11,3,408
12,3,494
13,4,406
14,4,416
15,4,466
16,4,489
17,5,16
18,5,103
19,5,213
20,5,354
21,6,47
22,6,192
23,6,411
24,6,466
25,7,95
26,8,231
27,8,382
28,8,436
29,8,447
30,9,24
31,9,226
32,9,302
33,9,316
34,9,366
35,9,453
36,10,173
37,11,27
38,11,28
39,11,260
40,11,285
41,11,388
42,11,491
43,12,218
44,12,448
45,13,140
46,13,351
47,14,76
48,14,160
49,14,205
50,14,245
51,14,445
52,15,236
53,15,259
54,15,424
55,16,161
56,16,280
57,16,297
58,16,303
59,16,382
60,16,453
61,17,147
62,17,152
63,17,164
64,17,222
65,17,309
66,17,317
67,17,462
68,17,467
69,18,102
70,18,113
71,18,183
72,18,248
73,18,428
74,18,459
75,19,89
76,19,139
77,19,231
78,19,401
79,19,426
80,19,492
81,20,139
82,20,246
83,20,248
84,21,208
85,21,230
86,21,269
87,22,24
88,22,102
89,22,168
90,22,229
91,22,323
92,22,358
93,22,451
94,22,470
95,24,28
96,24,286
97,24,289
98,25,290
99,25,393
100,26,96
101,26,164
102,26,173
103,26,272
104,26,441
105,27,333
106,27,435
107,27,478
108,28,156
109,28,214
110,29,151
111,29,179
112,29,199
113,29,208
114,29,234
115,30,301
116,31,70
117,31,116
118,31,213
119,31,239
120,31,296
121,31,398
122,31,441
123,32,154
124,32,166
125,32,279
126,32,427
127,33,47
128,33,104
129,33,488
130,34,146
131,34,158
132,34,166
133,34,224
134,35,91
135,35,369
136,36,54
137,36,150
138,36,197
139,36,252
140,36,322
141,37,60
142,37,340
143,37,408
144,38,132
145,38,267
146,38,297
147,38,350
148,38,403
149,39,77
150,39,82
151,39,123
152,39,185
153,39,218
154,39,362
155,39,407
156,40,296
157,40,428
158,40,472
159,40,490
160,41,154
161,41,264
162,41,274
163,41,467
164,43,129
165,43,153
166,43,286
167,44,57
168,44,456
169,45,256
170,46,149
171,47,374
172,47,402
173,47,430
174,48,110
175,48,294
176,48,350
177,49,227
178,51,157
179,51,458
180,52,79
181,52,248
182,52,280
183,52,313
184,52,460
185,52,493
186,53,77
187,53,125
188,53,467
189,54,105
190,54,335
191,54,367
192,55,86
193,55,147
194,55,284
195,55,411
196,55,488
197,56,98
198,56,283
199,56,426
200,57,328
201,57,362
202,57,430
203,58,410
204,58,413
205,58,486
206,59,168
207,59,393
208,60,237
209,60,242
210,60,357
211,60,359
212,60,385
213,60,424
214,60,489
215,61,217
216,61,376
217,61,423
218,61,431
219,62,190
220,62,225
221,62,241
222,62,396
223,63,140
224,63,141
225,63,205
226,63,264
227,63,322
228,63,333
229,63,342
230,63,362
231,63,483
232,64,149
233,64,188
234,64,198
235,64,265
236,64,351
237,65,418
238,65,428
239,66,414
240,66,463
241,67,87
242,67,90
243,67,264
244,67,438
245,68,82
246,68,155
247,68,184
248,68,417
249,69,319
250,69,461
251,70,216
252,71,422
253,72,290
254,72,292
255,72,348
256,72,377
257,72,384
258,72,385
259,73,140
260,73,145
261,73,174
262,73,249
263,74,294
264,74,300
265,74,382
266,75,210
267,75,235
268,75,295
269,75,346
270,75,392
271,75,480
272,76,401
273,77,100
274,77,133
275,77,280
276,77,418
277,78,473
278,78,488
279,79,207
280,79,377
281,79,438
282,80,370
283,80,388
284,81,203
285,81,358
286,82,112
287,82,220
288,82,276
289,82,284
290,83,392
291,84,122
292,85,180
293,85,182
294,85,287
295,85,390
296,86,306
297,87,198
298,87,448
299,87,454
300,88,137
301,88,292
302,88,337
303,89,371
304,90,123
305,91,151
306,91,192
307,91,213
308,91,269
309,91,289
310,91,392
311,91,424
312,91,475
313,92,400
314,92,470
315,92,494
316,93,446
317,94,458
318,95,177
319,95,224
320,95,332
321,95,394
322,95,406
323,96,291
324,97,102
325,97,431
326,97,461
327,98,142
328,99,326
329,99,434
330,99,478
331,99,494
332,100,160
333,100,316
334,100,340
335,101,462
336,102,193
337,102,280
338,104,118
339,104,207
340,104,365
341,104,456
342,105,322
343,105,328
344,105,345
345,106,225
346,107,139
347,108,110
348,108,238
349,108,253
350,108,411
351,109,280
352,110,459
353,111,258
354,111,265
355,111,288
356,112,175
357,112,206
358,112,249
359,112,322
360,113,247
361,113,386
362,113,437
363,114,208
364,114,341
365,115,301
366,115,354
367,115,371
368,115,463
369,116,129
370,116,259
371,116,310
372,116,345
373,116,360
374,116,460
375,117,232
376,118,494
377,119,124
378,119,171
379,119,266
380,119,416
381,120,137
382,120,303
383,120,352
384,120,480
385,121,335
386,123,127
387,123,155
388,123,444
389,123,473
390,123,474
391,123,482
392,124,295
393,125,382
394,125,413
395,126,291
396,127,215
397,127,218
398,127,282
399,127,386
400,128,179
401,128,219
402,129,376
403,130,293
