Id,Source,Target

0,4,306
1,8,424
2,9,444
3,10,342
4,12,337
5,12,418
6,17,23
7,17,122
8,24,55
9,25,107
10,26,486
11,30,36
12,31,93
13,36,263
14,37,255
15,37,441
16,40,333
17,41,193
18,44,195
19,47,167
20,52,340
21,54,268
22,55,221
23,56,251
24,57,287
25,57,469
26,62,476
27,75,99
28,76,448
29,84,348
30,86,228
31,95,192
32,98,300
33,98,489
34,100,107
35,101,108
36,107,180
37,110,483
38,111,276
39,111,402
40,113,423
41,118,350
42,119,408
43,122,331
44,122,339
45,131,418
46,138,478
47,139,424
48,140,497
49,144,321
50,146,194
51,149,265
52,151,247
53,151,425
54,158,215
55,159,186
56,161,168
57,161,246
58,161,430
59,163,191
60,169,174
61,169,474
62,170,291
63,174,248
64,177,210
65,177,367
66,187,486
67,193,495
68,207,477
69,213,369
70,215,401
71,216,242
72,222,422
73,224,232
74,227,396
75,227,478
76,228,374
77,228,395
78,238,321
79,243,245
80,248,306
81,254,314
82,259,267
83,266,276
84,267,489
85,280,347
86,287,352
87,311,430
88,319,426
89,320,338
90,321,452
91,322,419
92,323,410
93,332,350
94,335,374
95,336,420
96,339,374
97,354,435
98,359,430
99,368,469
100,370,465
101,375,403
102,423,428
103,433,454
104,439,445
105,448,462
