Id, Source, Target, Type
0,0, 1,Undirected
1,0, 2,Undirected
2,0, 3,Undirected
3,1, 2,Undirected
4,1, 3,Undirected
5,2, 3,Undirected
6,2, 4,Undirected
7,3, 4,Undirected
8,1, 4,Undirected
9,0, 5,Undirected
10,1, 5,Undirected
11,2, 5,Undirected
12,5, 6,Undirected
13,4, 6,Undirected
14,0, 6,Undirected
15,2, 7,Undirected
16,4, 7,Undirected
17,1, 7,Undirected
18,1, 8,Undirected
19,2, 8,Undirected
20,3, 8,Undirected
21,6, 9,Undirected
22,3, 9,Undirected
23,1, 9,Undirected
24,1, 10,Undirected
25,2, 10,Undirected
26,4, 10,Undirected
27,10, 11,Undirected
28,9, 11,Undirected
29,1, 11,Undirected
30,1, 12,Undirected
31,7, 12,Undirected
32,4, 12,Undirected
33,1, 13,Undirected
34,3, 13,Undirected
35,2, 13,Undirected
36,6, 14,Undirected
37,3, 14,Undirected
38,11, 14,Undirected
39,2, 15,Undirected
40,1, 15,Undirected
41,14, 15,Undirected
42,2, 16,Undirected
43,14, 16,Undirected
44,1, 16,Undirected
45,4, 17,Undirected
46,2, 17,Undirected
47,6, 17,Undirected
48,4, 18,Undirected
49,1, 18,Undirected
50,3, 18,Undirected
51,4, 19,Undirected
52,11, 19,Undirected
53,1, 19,Undirected
54,6, 20,Undirected
55,0, 20,Undirected
56,1, 20,Undirected
57,1, 21,Undirected
58,14, 21,Undirected
59,2, 21,Undirected
60,1, 22,Undirected
61,20, 22,Undirected
62,0, 22,Undirected
63,4, 23,Undirected
64,0, 23,Undirected
65,16, 23,Undirected
66,3, 24,Undirected
67,23, 24,Undirected
68,16, 24,Undirected
69,5, 25,Undirected
70,12, 25,Undirected
71,4, 25,Undirected
72,16, 26,Undirected
73,3, 26,Undirected
74,11, 26,Undirected
75,17, 27,Undirected
76,2, 27,Undirected
77,9, 27,Undirected
78,20, 28,Undirected
79,4, 28,Undirected
80,16, 28,Undirected
81,11, 29,Undirected
82,9, 29,Undirected
83,3, 29,Undirected
84,1, 30,Undirected
85,17, 30,Undirected
86,22, 30,Undirected
87,8, 31,Undirected
88,14, 31,Undirected
89,11, 31,Undirected
90,3, 32,Undirected
91,9, 32,Undirected
92,21, 32,Undirected
93,0, 33,Undirected
94,31, 33,Undirected
95,2, 33,Undirected
96,30, 34,Undirected
97,3, 34,Undirected
98,22, 34,Undirected
99,2, 35,Undirected
100,8, 35,Undirected
101,9, 35,Undirected
102,31, 36,Undirected
103,14, 36,Undirected
104,34, 36,Undirected
105,18, 37,Undirected
106,31, 37,Undirected
107,1, 37,Undirected
108,14, 38,Undirected
109,3, 38,Undirected
110,4, 38,Undirected
111,1, 39,Undirected
112,19, 39,Undirected
113,37, 39,Undirected
114,9, 40,Undirected
115,24, 40,Undirected
116,10, 40,Undirected
117,2, 41,Undirected
118,14, 41,Undirected
119,15, 41,Undirected
