Id, Source, Target
0,4, 32
1,134, 312
2,136, 300
3,61, 103
4,6, 187
5,282, 411
6,55, 423
7,17, 295
8,69, 225
9,10, 48
10,183, 329
11,379, 407
12,351, 394
13,8, 260
14,18, 248
15,20, 315
16,263, 289
17,1, 221
18,19, 344
19,36, 54
20,137, 318
21,59, 454
22,4, 230
23,17, 27
24,17, 20
25,12, 46
26,68, 75
27,34, 70
28,162, 444
29,3, 74
30,1, 429
31,6, 54
32,1, 424
33,6, 57
34,6, 51
35,6, 52
36,6, 53
37,35, 235
38,29, 476
39,83, 190
40,71, 115
41,35, 58
42,80, 427
43,12, 34
44,66, 302
45,53, 498
46,12, 396
47,41, 141
48,247, 334
49,64, 331
50,64, 445
51,112, 124
52,11, 60
53,314, 493
54,41, 415
55,119, 336
56,13, 28
57,89, 216
58,2, 256
59,13, 23
60,402, 502
61,39, 106
62,39, 108
63,75, 183
64,119, 205
65,119, 204
66,9, 406
67,368, 415
68,0, 23
69,0, 22
70,0, 24
71,129, 328
72,43, 96
73,19, 255
74,140, 483
75,42, 365
76,264, 355
77,117, 119
78,14, 418
79,132, 174
80,29, 257
81,69, 75
82,4, 208
83,165, 265
84,48, 400
85,424, 497
86,16, 464
87,95, 138
88,63, 96
89,0, 272
90,45, 452
91,4, 110
92,4, 115
93,113, 195
94,35, 112
95,271, 489
96,18, 484
97,23, 349
98,8, 9
99,60, 360
100,3, 363
101,150, 376
102,70, 410
103,43, 293
104,2, 105
105,2, 103
106,2, 108
107,2, 14
108,35, 205
109,2, 17
110,2, 18
111,185, 349
112,97, 344
113,54, 209
114,1, 15
115,1, 16
116,1, 10
117,1, 13
118,10, 194
119,59, 83
120,19, 49
121,0, 129
122,91, 112
123,125, 131
124,249, 379
125,18, 43
126,349, 487
127,10, 352
128,0, 498
129,6, 266
130,54, 333
131,180, 424
132,18, 107
133,15, 375
134,39, 72
135,3, 193
136,4, 27
137,58, 468
138,122, 234
139,4, 24
140,4, 23
141,4, 21
142,50, 285
143,54, 446
144,50, 283
145,27, 61
146,13, 173
147,301, 342
148,6, 190
149,211, 233
150,46, 156
151,80, 88
152,254, 432
153,115, 132
154,5, 282
155,18, 491
156,10, 56
157,10, 55
158,69, 239
159,10, 53
160,10, 51
161,59, 146
162,193, 481
163,10, 176
164,107, 199
165,17, 191
166,432, 439
167,12, 255
168,5, 386
169,17, 379
170,34, 368
171,9, 19
172,205, 312
173,9, 15
174,9, 16
175,9, 11
176,12, 59
177,7, 467
178,273, 373
179,273, 370
180,15, 111
181,49, 55
182,49, 56
183,17, 18
184,26, 166
185,34, 45
186,191, 326
187,12, 416
188,55, 416
189,76, 100
190,6, 49
191,17, 280
192,1, 342
193,6, 44
194,136, 172
195,6, 42
196,6, 41
197,1, 431
198,238, 281
199,31, 258
200,77, 94
201,166, 459
202,17, 366
203,81, 138
204,29, 404
205,35, 41
206,35, 46
207,41, 398
208,64, 300
209,3, 422
210,296, 328
211,64, 95
212,12, 382
213,32, 121
214,21, 456
215,36, 62
216,93, 150
217,12, 248
218,2, 240
219,2, 241
220,5, 19
221,8, 58
222,34, 378
223,79, 172
224,0, 17
225,0, 12
226,0, 10
227,0, 11
228,0, 19
229,58, 450
230,16, 327
231,42, 385
232,98, 122
233,39, 232
234,67, 164
235,199, 319
236,28, 36
237,123, 234
238,172, 371
239,14, 429
240,98, 238
241,29, 98
242,7, 186
243,29, 91
244,0, 468
245,0, 469
246,339, 367
247,56, 92
248,0, 460
249,4, 270
250,23, 243
251,33, 372
252,70, 391
253,0, 263
254,148, 275
255,39, 340
256,31, 98
257,20, 38
258,35, 472
259,20, 34
260,160, 208
261,281, 361
262,256, 275
263,4, 301
264,4, 302
265,56, 130
266,249, 465
267,387, 470
268,52, 373
269,113, 438
270,168, 491
271,248, 325
272,139, 192
273,74, 326
274,123, 160
275,185, 358
276,399, 450
277,188, 334
278,33, 203
279,54, 218
280,7, 17
281,97, 358
282,6, 322
283,69, 159
284,0, 131
285,1, 68
286,151, 390
287,1, 354
288,18, 51
289,273, 364
290,60, 173
291,309, 495
292,43, 48
293,118, 392
294,391, 469
295,28, 109
296,136, 363
297,4, 13
298,4, 10
299,4, 11
300,4, 14
301,4, 15
302,205, 274
303,176, 251
304,3, 139
305,6, 314
306,385, 448
307,10, 500
308,3, 131
309,3, 132
310,46, 167
311,11, 119
312,103, 168
313,5, 297
314,46, 183
315,13, 201
316,224, 316
317,76, 262
318,15, 298
319,236, 309
320,10, 165
321,10, 166
322,10, 160
323,122, 397
324,5, 369
325,28, 299
326,8, 242
327,26, 38
328,12, 265
329,233, 370
330,71, 114
331,26, 34
332,9, 64
333,34, 59
334,9, 67
335,7, 474
336,191, 353
337,3, 12
338,3, 10
339,344, 438
340,76, 464
341,5, 103
342,1, 401
343,6, 71
344,105, 107
345,146, 266
346,12, 82
347,12, 81
348,238, 297
349,77, 86
350,12, 89
351,76, 485
352,254, 371
353,26, 212
354,158, 428
355,66, 325
356,231, 452
357,86, 261
358,373, 424
359,11, 85
360,120, 340
361,11, 80
362,22, 194
363,27, 253
364,359, 411
365,27, 258
366,119, 177
367,99, 145
368,12, 117
369,2, 478
370,12, 119
371,164, 380
372,244, 399
373,14, 251
374,285, 492
375,20, 114
376,20, 117
377,164, 296
378,164, 293
379,9, 393
380,9, 392
381,9, 395
382,197, 198
383,274, 442
384,72, 268
385,138, 484
386,36, 402
387,36, 401
388,39, 226
389,447, 482
390,122, 403
391,447, 480
392,76, 78
393,230, 428
394,44, 384
395,123, 229
396,81, 304
397,73, 304
398,74, 147
399,73, 82
400,150, 409
401,197, 224
402,111, 143
403,52, 155
404,132, 191
405,275, 501
406,23, 258
407,70, 383
408,70, 382
409,90, 368
410,51, 151
411,127, 140
412,16, 249
413,23, 323
414,98, 444
415,20, 25
416,5, 439
417,281, 422
418,134, 430
419,100, 174
420,35, 311
421,187, 453
422,4, 319
423,129, 476
424,70, 169
425,139, 185
426,2, 121
427,10, 423
428,2, 128
429,21, 429
430,101, 381
431,124, 210
432,114, 454
433,94, 168
434,54, 269
435,61, 392
436,145, 357
437,94, 165
438,0, 324
439,1, 70
440,0, 106
441,24, 247
442,23, 472
443,19, 62
444,0, 108
445,25, 41
446,25, 40
447,3, 230
448,18, 61
449,10, 371
450,193, 272
451,192, 386
452,355, 369
453,60, 182
454,0, 371
455,183, 221
456,114, 143
457,43, 50
458,316, 390
459,15, 93
460,56, 304
461,170, 303
462,36, 220
463,290, 436
464,41, 79
465,8, 126
466,55, 150
467,3, 125
468,43, 251
469,10, 74
470,224, 327
471,10, 73
472,6, 157
473,6, 153
474,34, 167
475,15, 287
476,34, 168
477,10, 151
478,109, 278
479,24, 69
480,10, 404
481,10, 401
482,109, 496
483,161, 394
484,230, 381
485,6, 332
486,241, 413
487,26, 27
488,105, 231
489,273, 312
490,6, 62
491,1, 419
492,53, 206
493,137, 431
494,66, 258
495,3, 29
496,55, 164
497,3, 24
498,138, 285
499,1, 478
500,146, 209
501,200, 314
502,31, 236
503,158, 415
504,227, 342
505,97, 164
506,96, 461
507,244, 419
508,13, 418
509,144, 257
510,243, 280
511,1, 254
512,25, 162
513,31, 127
514,36, 82
