Id, Probabilidad
0, 153
1, 116
2, 229
3, 75
4, 64
5, 137
6, 55
7, 97
8, 101
9, 183
10, 60
11, 48
12, 70
13, 22
14, 80
15, 49
16, 67
17, 21
18, 43
19, 67
20, 37
21, 11
22, 23
23, 54
24, 111
25, 69
26, 16
27, 32
28, 47
29, 13
30, 51
31, 61
32, 22
33, 71
34, 54
35, 37
36, 28
37, 30
38, 33
39, 46
40, 36
41, 63
42, 19
43, 26
44, 67
45, 17
46, 27
47, 25
48, 40
49, 18
50, 25
51, 68
52, 8
53, 68
54, 29
55, 21
56, 10
57, 15
58, 36
59, 32
60, 47
61, 24
62, 15
63, 4
64, 7
65, 19
66, 6
67, 6
68, 44
69, 44
70, 38
71, 6
72, 18
73, 14
74, 46
75, 26
76, 15
77, 14
78, 15
79, 24
80, 23
81, 11
82, 25
83, 18
84, 25
85, 16
86, 33
87, 28
88, 14
89, 11
90, 32
91, 21
92, 22
93, 16
94, 14
95, 43
96, 33
97, 32
98, 13
99, 25
100, 61
101, 10
102, 19
103, 21
104, 14
105, 14
106, 25
107, 21
108, 12
109, 6
110, 9
111, 19
112, 51
113, 28
114, 13
115, 18
116, 6
117, 31
118, 13
119, 5
120, 36
121, 15
122, 49
123, 17
124, 10
125, 22
126, 21
127, 7
128, 46
129, 24
130, 17
131, 42
132, 5
133, 17
134, 10
135, 13
136, 18
137, 11
138, 12
139, 15
140, 15
141, 13
142, 12
143, 13
144, 16
145, 16
146, 16
147, 12
148, 15
149, 9
150, 14
151, 39
152, 15
153, 13
154, 8
155, 14
156, 20
157, 17
158, 19
159, 22
160, 12
161, 16
162, 6
163, 17
164, 23
165, 34
166, 7
167, 18
168, 15
169, 14
170, 28
171, 22
172, 19
173, 11
174, 13
175, 22
176, 21
177, 8
178, 5
179, 14
180, 25
181, 13
182, 11
183, 16
184, 12
185, 11
186, 13
187, 20
188, 26
189, 9
190, 15
191, 30
192, 12
193, 15
194, 7
195, 7
196, 13
197, 16
198, 29
199, 33
200, 10
201, 15
202, 7
203, 20
204, 22
205, 14
206, 22
207, 15
208, 26
209, 11
210, 25
211, 21
212, 30
213, 14
214, 9
215, 8
216, 8
217, 19
218, 19
219, 15
220, 7
221, 9
222, 16
223, 8
224, 15
225, 15
226, 6
227, 5
228, 12
229, 17
230, 11
231, 14
232, 29
233, 7
234, 7
235, 10
236, 12
237, 13
238, 8
239, 7
240, 10
241, 21
242, 28
243, 17
244, 23
245, 4
246, 6
247, 21
248, 14
249, 7
250, 12
251, 10
252, 20
253, 7
254, 10
255, 7
256, 18
257, 15
258, 28
259, 29
260, 9
261, 17
262, 8
263, 20
264, 6
265, 10
266, 11
267, 5
268, 8
269, 10
270, 17
271, 7
272, 6
273, 11
274, 23
275, 14
276, 19
277, 31
278, 8
279, 7
280, 15
281, 15
282, 13
283, 12
284, 14
285, 15
286, 5
287, 5
288, 14
289, 13
290, 41
291, 6
292, 21
293, 13
294, 10
295, 11
296, 7
297, 17
298, 21
299, 15
300, 10
301, 4
302, 21
303, 12
304, 6
305, 5
306, 10
307, 7
308, 8
309, 12
310, 10
311, 22
312, 10
313, 7
314, 5
315, 8
316, 18
317, 6
318, 9
319, 11
320, 8
321, 9
322, 22
323, 12
324, 10
325, 17
326, 13
327, 18
328, 23
329, 7
330, 27
331, 6
332, 11
333, 10
334, 15
335, 7
336, 14
337, 9
338, 16
339, 9
340, 6
341, 7
342, 12
343, 29
344, 16
345, 10
346, 11
347, 16
348, 9
349, 22
350, 20
351, 11
352, 22
353, 4
354, 9
355, 9
356, 11
357, 11
358, 7
359, 23
360, 18
361, 8
362, 10
363, 21
364, 9
365, 18
366, 13
367, 9
368, 7
369, 12
370, 9
371, 8
372, 20
373, 15
374, 9
375, 5
376, 11
377, 7
378, 10
379, 14
380, 10
381, 9
382, 10
383, 12
384, 14
385, 9
386, 10
387, 6
388, 5
389, 6
390, 15
391, 6
392, 6
393, 9
394, 6
395, 4
396, 7
397, 28
398, 12
399, 9
400, 10
401, 12
402, 12
403, 6
404, 26
405, 16
406, 12
407, 11
408, 7
409, 10
410, 5
411, 4
412, 7
413, 7
414, 10
415, 20
416, 8
417, 8
418, 10
419, 10
420, 14
421, 11
422, 15
423, 5
424, 12
425, 9
426, 6
427, 12
428, 13
429, 4
430, 13
431, 9
432, 7
433, 7
434, 3
435, 17
436, 17
437, 9
438, 12
439, 9
440, 6
441, 10
442, 10
443, 5
444, 3
445, 18
446, 11
447, 13
448, 13
449, 9
450, 14
451, 7
452, 12
453, 20
454, 3
455, 9
456, 8
457, 4
458, 8
459, 5
460, 18
461, 30
462, 25
463, 9
464, 10
465, 4
466, 9
467, 10
468, 18
469, 3
470, 9
471, 3
472, 5
473, 12
474, 12
475, 20
476, 6
477, 3
478, 10
479, 9
480, 8
481, 13
482, 9
483, 13
484, 8
485, 4
486, 7
487, 10
488, 6
489, 13
490, 8
491, 7
492, 6
493, 3
494, 14
495, 12
496, 5
497, 9
498, 5
499, 7
500, 3
501, 8
502, 5
503, 5
504, 7
505, 8
506, 12
507, 9
508, 11
509, 7
510, 7
511, 4
512, 11
513, 4
514, 5
515, 4
516, 12
517, 7
518, 10
519, 5
520, 15
521, 4
522, 16
523, 3
524, 21
525, 19
526, 6
527, 5
528, 6
529, 9
530, 11
531, 8
532, 6
533, 15
534, 7
535, 5
536, 9
537, 12
538, 7
539, 19
540, 3
541, 18
542, 13
543, 3
544, 16
545, 6
546, 11
547, 5
548, 3
549, 14
550, 14
551, 5
552, 7
553, 3
554, 10
555, 4
556, 7
557, 11
558, 10
559, 14
560, 5
561, 5
562, 8
563, 10
564, 16
565, 10
566, 20
567, 20
568, 7
569, 4
570, 10
571, 11
572, 15
573, 16
574, 7
575, 4
576, 22
577, 9
578, 14
579, 10
580, 7
581, 9
582, 6
583, 4
584, 12
585, 8
586, 7
587, 16
588, 6
589, 5
590, 11
591, 14
592, 15
593, 3
594, 10
595, 11
596, 11
597, 8
598, 6
599, 6
600, 3
601, 4
602, 14
603, 3
604, 4
605, 6
606, 7
607, 11
608, 14
609, 8
610, 11
611, 10
612, 11
613, 11
614, 5
615, 10
616, 7
617, 4
618, 11
619, 4
620, 8
621, 9
622, 10
623, 12
624, 4
625, 23
626, 3
627, 10
628, 7
629, 4
630, 15
631, 3
632, 6
633, 7
634, 10
635, 22
636, 3
637, 15
638, 8
639, 9
640, 11
641, 11
642, 8
643, 4
644, 5
645, 6
646, 13
647, 17
648, 16
649, 8
650, 8
651, 5
652, 6
653, 4
654, 8
655, 3
656, 14
657, 10
658, 4
659, 13
660, 5
661, 7
662, 11
663, 4
664, 5
665, 5
666, 10
667, 3
668, 6
669, 5
670, 10
671, 9
672, 7
673, 3
674, 10
675, 3
676, 10
677, 4
678, 9
679, 12
680, 12
681, 9
682, 9
683, 6
684, 15
685, 7
686, 10
687, 5
688, 7
689, 11
690, 7
691, 5
692, 11
693, 6
694, 8
695, 12
696, 10
697, 3
698, 9
699, 15
700, 9
701, 3
702, 8
703, 4
704, 9
705, 4
706, 8
707, 11
708, 8
709, 5
710, 3
711, 9
712, 16
713, 9
714, 19
715, 14
716, 7
717, 11
718, 4
719, 10
720, 8
721, 4
722, 12
723, 9
724, 7
725, 5
726, 6
727, 3
728, 10
729, 5
730, 5
731, 4
732, 7
733, 12
734, 8
735, 6
736, 16
737, 4
738, 19
739, 9
740, 4
741, 7
742, 4
743, 4
744, 13
745, 11
746, 8
747, 11
748, 6
749, 5
750, 7
751, 5
752, 5
753, 8
754, 5
755, 8
756, 10
757, 6
758, 7
759, 6
760, 12
761, 11
762, 6
763, 8
764, 9
765, 3
766, 10
767, 5
768, 8
769, 5
770, 5
771, 6
772, 7
773, 6
774, 6
775, 6
776, 4
777, 4
778, 7
779, 4
780, 6
781, 10
782, 8
783, 8
784, 6
785, 9
786, 11
787, 7
788, 6
789, 11
790, 7
791, 4
792, 9
793, 8
794, 10
795, 4
796, 6
797, 3
798, 4
799, 10
800, 9
801, 6
802, 8
803, 3
804, 8
805, 10
806, 11
807, 12
808, 7
809, 3
810, 5
811, 11
812, 8
813, 7
814, 9
815, 12
816, 11
817, 3
818, 23
819, 6
820, 4
821, 5
822, 10
823, 6
824, 12
825, 5
826, 7
827, 10
828, 5
829, 10
830, 4
831, 8
832, 5
833, 11
834, 11
835, 10
836, 9
837, 5
838, 6
839, 5
840, 11
841, 18
842, 16
843, 3
844, 9
845, 6
846, 6
847, 11
848, 6
849, 14
850, 3
851, 6
852, 6
853, 5
854, 8
855, 3
856, 9
857, 3
858, 5
859, 5
860, 9
861, 6
862, 4
863, 5
864, 6
865, 8
866, 11
867, 5
868, 7
869, 6
870, 8
871, 11
872, 5
873, 12
874, 5
875, 6
876, 8
877, 5
878, 4
879, 9
880, 11
881, 7
882, 5
883, 9
884, 9
885, 3
886, 12
887, 8
888, 8
889, 9
890, 6
891, 5
892, 5
893, 8
894, 7
895, 7
896, 3
897, 7
898, 16
899, 6
900, 6
901, 7
902, 8
903, 4
904, 8
905, 7
906, 9
907, 4
908, 5
909, 10
910, 7
911, 7
912, 7
913, 7
914, 8
915, 5
916, 7
917, 8
918, 5
919, 10
920, 6
921, 9
922, 4
923, 7
924, 3
925, 3
926, 8
927, 4
928, 6
929, 5
930, 12
931, 7
932, 5
933, 3
934, 6
935, 9
936, 5
937, 5
938, 7
939, 6
940, 6
941, 4
942, 7
943, 5
944, 5
945, 5
946, 9
947, 3
948, 4
949, 8
950, 4
951, 4
952, 5
953, 8
954, 6
955, 5
956, 5
957, 8
958, 10
959, 8
960, 6
961, 10
962, 5
963, 8
964, 5
965, 5
966, 8
967, 4
968, 10
969, 4
970, 10
971, 10
972, 9
973, 5
974, 11
975, 4
976, 5
977, 8
978, 4
979, 6
980, 7
981, 13
982, 7
983, 5
984, 7
985, 8
986, 7
987, 11
988, 6
989, 3
990, 5
991, 6
992, 4
993, 4
994, 7
995, 10
996, 8
997, 8
998, 3
999, 7
1000, 9
1001, 3
1002, 5
1003, 8
1004, 6
1005, 8
1006, 8
1007, 3
1008, 4
1009, 5
1010, 5
1011, 8
1012, 8
1013, 5
1014, 4
1015, 4
1016, 9
1017, 3
1018, 6
1019, 7
1020, 4
1021, 3
1022, 9
1023, 4
1024, 4
1025, 7
1026, 9
1027, 7
1028, 17
1029, 4
1030, 6
1031, 4
1032, 4
1033, 3
1034, 5
1035, 10
1036, 8
1037, 12
1038, 12
1039, 12
1040, 9
1041, 5
1042, 7
1043, 4
1044, 5
1045, 5
1046, 4
1047, 5
1048, 7
1049, 6
1050, 13
1051, 4
1052, 6
1053, 9
1054, 5
1055, 4
1056, 7
1057, 5
1058, 3
1059, 11
1060, 10
1061, 5
1062, 3
1063, 4
1064, 9
1065, 13
1066, 5
1067, 6
1068, 7
1069, 6
1070, 4
1071, 13
1072, 4
1073, 6
1074, 6
1075, 5
1076, 6
1077, 9
1078, 7
1079, 11
1080, 4
1081, 5
1082, 5
1083, 6
1084, 4
1085, 7
1086, 7
1087, 4
1088, 14
1089, 11
1090, 13
1091, 8
1092, 10
1093, 7
1094, 7
1095, 5
1096, 6
1097, 7
1098, 5
1099, 4
1100, 3
1101, 5
1102, 3
1103, 7
1104, 6
1105, 12
1106, 3
1107, 6
1108, 7
1109, 4
1110, 6
1111, 5
1112, 4
1113, 4
1114, 6
1115, 5
1116, 4
1117, 6
1118, 9
1119, 6
1120, 7
1121, 4
1122, 6
1123, 13
1124, 9
1125, 6
1126, 8
1127, 7
1128, 4
1129, 7
1130, 6
1131, 6
1132, 4
1133, 5
1134, 7
1135, 5
1136, 5
1137, 7
1138, 5
1139, 5
1140, 8
1141, 7
1142, 7
1143, 7
1144, 7
1145, 9
1146, 7
1147, 4
1148, 5
1149, 5
1150, 4
1151, 3
1152, 6
1153, 7
1154, 8
1155, 5
1156, 5
1157, 5
1158, 4
1159, 4
1160, 5
1161, 6
1162, 4
1163, 6
1164, 3
1165, 4
1166, 11
1167, 5
1168, 6
1169, 4
1170, 4
1171, 5
1172, 4
1173, 6
1174, 9
1175, 6
1176, 9
1177, 3
1178, 4
1179, 9
1180, 12
1181, 4
1182, 6
1183, 11
1184, 7
1185, 3
1186, 3
1187, 4
1188, 9
1189, 4
1190, 5
1191, 9
1192, 8
1193, 4
1194, 16
1195, 5
1196, 5
1197, 4
1198, 7
1199, 4
1200, 11
1201, 6
1202, 3
1203, 3
1204, 7
1205, 3
1206, 9
1207, 8
1208, 8
1209, 3
1210, 8
1211, 6
1212, 8
1213, 6
1214, 9
1215, 4
1216, 6
1217, 5
1218, 4
1219, 6
1220, 4
1221, 6
1222, 5
1223, 10
1224, 9
1225, 9
1226, 8
1227, 3
1228, 5
1229, 3
1230, 8
1231, 6
1232, 6
1233, 17
1234, 3
1235, 7
1236, 4
1237, 6
1238, 4
1239, 3
1240, 9
1241, 12
1242, 4
1243, 8
1244, 5
1245, 6
1246, 4
1247, 4
1248, 8
1249, 8
1250, 3
1251, 4
1252, 4
1253, 9
1254, 6
1255, 6
1256, 6
1257, 7
1258, 7
1259, 10
1260, 6
1261, 11
1262, 5
1263, 4
1264, 8
1265, 3
1266, 5
1267, 6
1268, 5
1269, 9
1270, 5
1271, 6
1272, 4
1273, 10
1274, 3
1275, 4
1276, 5
1277, 3
1278, 12
1279, 6
1280, 5
1281, 7
1282, 6
1283, 9
