Id, Probabilidad
0, 20
1, 26
2, 53
3, 41
4, 53
5, 37
6, 18
7, 32
8, 76
9, 26
10, 35
11, 24
12, 6
13, 6
14, 19
15, 27
16, 6
17, 7
18, 4
19, 25
20, 5
21, 26
22, 16
23, 13
24, 10
25, 23
26, 26
27, 9
28, 11
29, 20
30, 8
31, 11
32, 6
33, 19
34, 11
35, 21
36, 13
37, 11
38, 7
39, 10
40, 10
41, 12
42, 12
43, 8
44, 7
45, 6
46, 3
47, 4
48, 22
49, 5
50, 17
51, 6
52, 27
53, 13
54, 5
55, 10
56, 6
57, 12
58, 12
59, 9
60, 10
61, 7
62, 8
63, 15
64, 25
65, 5
66, 12
67, 7
68, 6
69, 4
70, 6
71, 8
72, 9
73, 5
74, 5
75, 6
76, 16
77, 11
78, 7
79, 10
80, 4
81, 9
82, 10
83, 4
84, 5
85, 6
86, 10
87, 7
88, 8
89, 4
90, 6
91, 6
92, 9
93, 9
94, 4
95, 9
96, 5
97, 6
98, 3
99, 6
100, 14
101, 8
102, 6
103, 5
104, 5
105, 7
106, 7
107, 9
108, 6
109, 6
110, 8
111, 8
112, 11
113, 5
114, 4
115, 4
116, 6
117, 3
118, 6
119, 3
120, 4
121, 5
122, 3
123, 3
124, 5
125, 6
126, 6
127, 6
128, 7
129, 7
130, 3
131, 6
132, 3
133, 4
134, 7
135, 7
136, 3
137, 7
138, 5
139, 8
140, 3
141, 7
142, 4
143, 5
144, 3
145, 8
146, 7
147, 8
148, 5
149, 4
150, 5
151, 4
152, 6
153, 5
154, 7
155, 6
156, 5
157, 6
158, 6
159, 4
160, 3
161, 4
162, 4
163, 10
164, 5
165, 5
166, 3
167, 3
168, 6
169, 4
170, 5
171, 6
172, 9
173, 7
174, 4
175, 4
176, 3
177, 4
178, 3
179, 4
180, 5
181, 3
182, 3
183, 4
184, 5
185, 9
186, 5
187, 3
188, 3
189, 6
190, 3
191, 5
192, 4
193, 4
194, 5
195, 10
196, 4
197, 5
198, 3
199, 9
200, 4
201, 4
202, 3
203, 3
204, 7
205, 4
206, 3
207, 4
208, 3
209, 4
210, 8
211, 8
212, 3
213, 8
214, 4
215, 4
216, 5
217, 4
218, 3
219, 4
220, 4
221, 6
222, 4
223, 3
224, 3
225, 3
226, 4
227, 10
228, 5
229, 7
230, 5
231, 3
232, 3
233, 5
234, 4
235, 3
236, 5
237, 4
238, 3
239, 4
240, 7
241, 5
242, 5
243, 5
244, 3
245, 3
246, 4
247, 3
248, 4
249, 3
250, 3
251, 8
252, 7
253, 3
254, 3
255, 3
256, 3
257, 4
258, 5
259, 3
260, 4
261, 5
262, 3
263, 3
264, 6
265, 3
266, 3
267, 4
268, 3
269, 3
270, 4
271, 3
272, 8
273, 4
274, 4
275, 3
276, 10
277, 4
278, 3
279, 5
280, 3
281, 3
282, 5
283, 4
284, 4
285, 7
286, 5
287, 3
288, 4
289, 3
290, 6
291, 5
292, 5
293, 3
294, 5
295, 4
296, 3
297, 3
298, 4
299, 3
300, 6
301, 3
302, 6
303, 4
304, 3
305, 4
306, 5
307, 4
308, 3
309, 4
310, 4
311, 7
312, 3
313, 6
314, 3
315, 4
316, 6
317, 6
318, 4
319, 4
320, 3
321, 3
322, 4
323, 3
324, 3
325, 4
326, 5
327, 4
328, 4
329, 3
330, 5
331, 3
332, 3
333, 4
334, 3
335, 3
336, 3
337, 3
338, 3
339, 6
340, 3
341, 4
342, 6
343, 3
344, 3
345, 3
346, 3
347, 4
348, 3
349, 3
350, 3
351, 3
352, 4
353, 3
354, 3
355, 3
356, 4
357, 3
358, 4
359, 4
360, 3
361, 3
362, 4
363, 6
364, 3
365, 3
366, 4
367, 4
368, 3
369, 4
370, 3
371, 3
372, 4
373, 3
374, 4
375, 3
376, 6
377, 3
378, 4
379, 3
380, 3
381, 3
382, 3
383, 3
384, 3
385, 3
386, 3
387, 3
388, 4
389, 4
390, 4
391, 3
392, 3
393, 3
394, 3
395, 3
396, 3
397, 3
398, 3
399, 4
400, 3
401, 3
402, 4
403, 5
404, 3
405, 4
406, 3
407, 3
408, 3
409, 3
410, 3
411, 3
412, 3
413, 3
414, 4
415, 3
416, 3
417, 3
418, 3
419, 3
420, 3
421, 4
422, 3
423, 4
424, 3
425, 4
426, 3
427, 6
428, 3
429, 4
430, 3
431, 3
432, 3
433, 3
434, 3
435, 4
436, 3
437, 3
438, 3
439, 3
440, 4
441, 3
442, 3
443, 4
444, 3
445, 4
446, 3
447, 4
448, 3
449, 3
450, 3
451, 3
452, 3
453, 3
454, 3
455, 3
456, 3
457, 3
458, 3
459, 3
460, 3
461, 3
462, 3
463, 3
464, 4
465, 3
466, 3
467, 3
468, 3
469, 3
470, 3
471, 3
472, 3
473, 3
474, 3
475, 4
476, 3
477, 3
478, 3
479, 3
480, 3
481, 3
482, 3
483, 3
484, 3
485, 3
486, 3
487, 3
488, 3
489, 3
490, 3
491, 3
492, 3
493, 3
494, 3
495, 3
496, 3
497, 3
498, 3
499, 3
