Id, Source, Target, Type
0,0, 29,Undirected
1,0, 229,Undirected
2,0, 230,Undirected
3,0, 397,Undirected
4,0, 486,Undirected
5,1, 53,Undirected
6,1, 73,Undirected
7,1, 146,Undirected
8,1, 355,Undirected
9,2, 10,Undirected
10,2, 90,Undirected
11,2, 151,Undirected
12,2, 444,Undirected
13,3, 17,Undirected
14,3, 42,Undirected
15,3, 115,Undirected
16,3, 334,Undirected
17,3, 375,Undirected
18,3, 455,Undirected
19,4, 45,Undirected
20,4, 124,Undirected
21,4, 276,Undirected
22,4, 319,Undirected
23,4, 362,Undirected
24,4, 491,Undirected
25,5, 45,Undirected
26,5, 54,Undirected
27,5, 144,Undirected
28,5, 171,Undirected
29,5, 173,Undirected
30,5, 268,Undirected
31,5, 317,Undirected
32,5, 375,Undirected
33,5, 409,Undirected
34,5, 444,Undirected
35,5, 459,Undirected
36,6, 45,Undirected
37,6, 71,Undirected
38,6, 138,Undirected
39,6, 372,Undirected
40,6, 415,Undirected
41,6, 419,Undirected
42,6, 446,Undirected
43,7, 70,Undirected
44,7, 345,Undirected
45,7, 489,Undirected
46,8, 23,Undirected
47,8, 26,Undirected
48,8, 28,Undirected
49,8, 108,Undirected
50,8, 222,Undirected
51,8, 457,Undirected
52,9, 203,Undirected
53,9, 289,Undirected
54,9, 295,Undirected
55,9, 302,Undirected
56,9, 433,Undirected
57,10, 292,Undirected
58,10, 342,Undirected
59,11, 22,Undirected
60,11, 60,Undirected
61,11, 240,Undirected
62,11, 454,Undirected
63,12, 12,Undirected
64,12, 112,Undirected
65,12, 145,Undirected
66,12, 270,Undirected
67,12, 388,Undirected
68,12, 452,Undirected
69,13, 96,Undirected
70,13, 388,Undirected
71,13, 392,Undirected
72,14, 192,Undirected
73,14, 206,Undirected
74,14, 269,Undirected
75,14, 412,Undirected
76,14, 468,Undirected
77,15, 212,Undirected
78,15, 247,Undirected
79,15, 430,Undirected
80,16, 268,Undirected
81,16, 324,Undirected
82,16, 413,Undirected
83,17, 115,Undirected
84,17, 230,Undirected
85,17, 276,Undirected
86,17, 345,Undirected
87,17, 377,Undirected
88,18, 57,Undirected
89,18, 179,Undirected
90,18, 397,Undirected
91,18, 434,Undirected
92,18, 449,Undirected
93,18, 473,Undirected
94,19, 32,Undirected
95,19, 122,Undirected
96,19, 169,Undirected
97,19, 297,Undirected
98,19, 350,Undirected
99,19, 454,Undirected
100,20, 39,Undirected
101,20, 136,Undirected
102,20, 203,Undirected
103,20, 269,Undirected
104,20, 397,Undirected
105,20, 472,Undirected
106,21, 100,Undirected
107,21, 162,Undirected
108,21, 178,Undirected
109,21, 315,Undirected
110,21, 409,Undirected
111,21, 414,Undirected
112,21, 442,Undirected
113,22, 92,Undirected
114,22, 179,Undirected
115,22, 253,Undirected
116,22, 409,Undirected
117,23, 82,Undirected
118,23, 92,Undirected
119,23, 170,Undirected
120,24, 24,Undirected
121,24, 44,Undirected
122,25, 71,Undirected
123,25, 193,Undirected
124,25, 198,Undirected
125,25, 318,Undirected
126,25, 488,Undirected
127,26, 211,Undirected
128,26, 243,Undirected
129,26, 361,Undirected
130,26, 399,Undirected
131,26, 448,Undirected
132,26, 456,Undirected
133,27, 268,Undirected
134,27, 278,Undirected
135,27, 294,Undirected
136,27, 454,Undirected
137,27, 464,Undirected
138,28, 373,Undirected
139,29, 64,Undirected
140,29, 204,Undirected
141,29, 280,Undirected
142,29, 310,Undirected
143,29, 395,Undirected
144,29, 460,Undirected
145,29, 482,Undirected
146,29, 484,Undirected
147,30, 8,Undirected
148,30, 68,Undirected
149,30, 261,Undirected
150,31, 27,Undirected
151,31, 70,Undirected
152,31, 125,Undirected
153,31, 175,Undirected
154,31, 204,Undirected
155,31, 331,Undirected
156,31, 437,Undirected
157,32, 9,Undirected
158,32, 11,Undirected
159,32, 105,Undirected
160,32, 278,Undirected
161,32, 373,Undirected
162,32, 392,Undirected
163,32, 416,Undirected
164,32, 477,Undirected
165,33, 86,Undirected
166,33, 221,Undirected
167,33, 253,Undirected
168,33, 371,Undirected
169,33, 386,Undirected
170,33, 433,Undirected
171,33, 450,Undirected
172,34, 59,Undirected
173,34, 62,Undirected
174,34, 202,Undirected
175,34, 206,Undirected
176,34, 321,Undirected
177,35, 47,Undirected
178,35, 98,Undirected
179,35, 106,Undirected
180,35, 402,Undirected
181,36, 84,Undirected
182,36, 114,Undirected
183,36, 301,Undirected
184,36, 463,Undirected
185,37, 40,Undirected
186,37, 229,Undirected
187,38, 117,Undirected
188,38, 125,Undirected
189,38, 180,Undirected
190,38, 182,Undirected
191,38, 440,Undirected
192,38, 457,Undirected
193,39, 319,Undirected
194,39, 375,Undirected
195,39, 395,Undirected
196,39, 426,Undirected
197,39, 484,Undirected
198,40, 387,Undirected
199,41, 11,Undirected
200,41, 192,Undirected
201,41, 222,Undirected
202,41, 272,Undirected
203,41, 457,Undirected
204,42, 163,Undirected
205,42, 164,Undirected
206,42, 297,Undirected
207,42, 303,Undirected
208,42, 306,Undirected
209,42, 375,Undirected
210,43, 310,Undirected
211,43, 369,Undirected
212,43, 438,Undirected
213,43, 491,Undirected
214,44, 140,Undirected
215,44, 273,Undirected
216,44, 386,Undirected
217,44, 428,Undirected
218,44, 468,Undirected
219,45, 132,Undirected
220,45, 161,Undirected
221,45, 208,Undirected
222,45, 362,Undirected
223,45, 423,Undirected
224,46, 9,Undirected
225,46, 24,Undirected
226,46, 481,Undirected
227,47, 60,Undirected
228,47, 109,Undirected
229,47, 114,Undirected
230,47, 368,Undirected
231,47, 428,Undirected
232,47, 497,Undirected
233,48, 40,Undirected
234,48, 45,Undirected
235,48, 53,Undirected
236,48, 94,Undirected
237,48, 194,Undirected
238,48, 428,Undirected
239,49, 32,Undirected
240,49, 84,Undirected
241,49, 107,Undirected
242,49, 119,Undirected
243,50, 189,Undirected
244,50, 288,Undirected
245,50, 297,Undirected
246,50, 442,Undirected
247,51, 13,Undirected
248,51, 77,Undirected
249,51, 142,Undirected
250,51, 306,Undirected
251,51, 313,Undirected
252,51, 369,Undirected
253,51, 387,Undirected
254,51, 419,Undirected
255,51, 463,Undirected
256,52, 228,Undirected
257,52, 403,Undirected
258,52, 422,Undirected
259,53, 52,Undirected
260,53, 178,Undirected
261,53, 245,Undirected
262,53, 340,Undirected
263,54, 205,Undirected
264,54, 267,Undirected
265,54, 300,Undirected
266,54, 483,Undirected
267,55, 395,Undirected
268,55, 410,Undirected
269,55, 428,Undirected
270,55, 466,Undirected
271,55, 487,Undirected
272,56, 318,Undirected
273,56, 369,Undirected
274,57, 110,Undirected
275,59, 188,Undirected
276,59, 349,Undirected
277,60, 113,Undirected
278,60, 312,Undirected
279,60, 342,Undirected
280,60, 480,Undirected
281,61, 150,Undirected
282,61, 165,Undirected
283,61, 170,Undirected
284,61, 227,Undirected
285,61, 462,Undirected
286,62, 254,Undirected
287,62, 413,Undirected
288,63, 30,Undirected
289,63, 200,Undirected
290,63, 279,Undirected
291,63, 283,Undirected
292,63, 445,Undirected
293,64, 65,Undirected
294,64, 118,Undirected
295,64, 396,Undirected
296,64, 412,Undirected
297,64, 438,Undirected
298,65, 47,Undirected
299,65, 89,Undirected
300,65, 92,Undirected
301,65, 95,Undirected
302,65, 121,Undirected
303,65, 162,Undirected
304,65, 163,Undirected
305,65, 414,Undirected
306,65, 447,Undirected
307,65, 494,Undirected
308,66, 23,Undirected
309,66, 154,Undirected
310,66, 377,Undirected
311,67, 142,Undirected
312,67, 161,Undirected
313,68, 110,Undirected
314,69, 232,Undirected
315,69, 262,Undirected
316,69, 336,Undirected
317,69, 394,Undirected
318,70, 10,Undirected
319,70, 36,Undirected
320,70, 55,Undirected
321,70, 248,Undirected
322,70, 385,Undirected
323,70, 486,Undirected
324,71, 83,Undirected
325,71, 334,Undirected
326,71, 382,Undirected
327,71, 432,Undirected
328,72, 96,Undirected
329,72, 158,Undirected
330,72, 285,Undirected
331,72, 314,Undirected
332,73, 334,Undirected
333,73, 443,Undirected
334,73, 467,Undirected
335,74, 307,Undirected
336,74, 372,Undirected
337,74, 373,Undirected
338,75, 34,Undirected
339,75, 53,Undirected
340,75, 462,Undirected
341,76, 156,Undirected
342,76, 491,Undirected
343,77, 125,Undirected
344,77, 326,Undirected
345,77, 327,Undirected
346,77, 367,Undirected
347,77, 493,Undirected
348,78, 259,Undirected
349,78, 274,Undirected
350,78, 429,Undirected
