Model;Nodes;Parameter;Density;HubDegree;AvgDistance;Clustering;L;K;NumComp
Random;500;0,001; 0,005035246727089627;6;not connected;0,0;275;1,661631419939577;59
Random;500;0,002; 0,0054113188380316085;8;not connected;0,0;554;2,445916114790287;12
Random;500;0,009; 0,01769138276553106;18;3,0981402805611222;0,017833615404203623;2207;8,828;1
Random;500;0,1; 0,19014829659318638;119;1,81025250501002;0,1897369541168767;23721;94,884;1
Random;500;0,001; 0,004873116975027803;4;not connected;0,0;241;1,53015873015873;76
Random;500;0,002; 0,005185772680129339;7;not connected;0,0;510;2,2972972972972974;13
Random;500;0,009; 0,017779559118236473;19;3,076993987975952;0,01694192328139696;2218;8,872;1
Random;500;0,1; 0,18880160320641282;126;1,8116152304609219;0,1891797102359266;23553;94,212;1
Random;500;0,001; 0,00500308701113453;5;not connected;0,0;235;1,5309446254071661;73
Random;500;0,002; 0,005081485980362385;8;not connected;0,0029962546816479398;502;2,256179775280899;18
Random;500;0,009; 0,018284569138276554;19;3,0459158316633266;0,020363248120988057;2281;9,124;1
Random;500;0,1; 0,18952304609218437;126;1,810869739478958;0,18987240174649092;23643;94,572;1
Random;500;0,001; 0,0052231718898385565;6;not connected;0,0;275;1,6923076923076923;53
Random;500;0,002; 0,005212323962661199;8;not connected;0,0016572754391779912;483;2,2412993039443156;18
Random;500;0,009; 0,017587174348697394;18;3,1062685370741483;0,018446087246087227;2194;8,776;1
Random;500;0,1; 0,19047695390781563;117;1,8100440881763527;0,1901961603728054;23762;95,048;1
Random;500;0,001; 0,004889098631429919;4;not connected;0,0;259;1,5889570552147239;70
Random;500;0,002; 0,00531346039107969;8;not connected;0,0035545023696682463;472;2,2369668246445498;21
Random;500;0,009; 0,017771543086172344;20;3,0858436873747497;0,01799843922847017;2217;8,868;1
Random;500;0,1; 0,18812024048096193;120;1,8121603206412826;0,188919128146948;23468;93,872;1
Random;500;0,001; 0,004576866022649155;6;not connected;0,009009009009009009;253;1,5195195195195195;82
Random;500;0,002; 0,0049445865302642795;6;not connected;0,0013043478260869564;522;2,2695652173913046;17
Random;500;0,009; 0,017579158316633266;19;3,0922324649298596;0,016669450673165824;2193;8,772;1
Random;500;0,1; 0,18784769539078155;120;1,8125771543086173;0,18841361073842905;23434;93,736;1
Random;500;0,001; 0,005152115134870452;5;not connected;0,0;242;1,5765472312703583;66
