Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
7865, 10 Days in Africa, 2003, 2, 4, 20, 30, 30, 2089, -1, 
2612, 18AL, 1999, 3, 5, 180, 180, 180, 667, -1, 
27708, 1960: The Making of the President, 2007, 2, 2, 90, 120, 120, 9271, -1, 
36522, 2 de Mayo, 2008, 2, 2, 20, 20, 20, 2409, -1, 
103651, 23, 2011, 2, 4, 25, 25, 25, 535, -1, 
432, 6 Nimmt!, 1994, 2, 10, 45, 45, 45, 20197, -1, 
68448, 7 Wonders, 2010, 2, 7, 30, 30, 30, 87037, -1, 
173346, 7 Wonders Duel, 2015, 2, 2, 30, 30, 30, 58148, -1, 
110308, 7 Wonders: Catan, 2011, 2, 7, 30, 30, 30, 6277, -1, 
111661, 7 Wonders: Cities, 2012, 2, 8, 40, 40, 40, 21970, -1, 
92539, 7 Wonders: Leaders, 2011, 2, 7, 40, 40, 40, 26574, -1, 
83445, 7 Wonders: Manneken Pis, 2011, 2, 7, 30, 30, 30, 5274, -1, 
180263, The 7th Continent, 2017, 1, 4, 5, 1000, 1000, 15701, -1, 
217, A la carte, 2010, 2, 4, 30, 30, 30, 3819, -1, 
7688, Memory, 1959, 2, 6, 30, 30, 30, 3042, -1, 
503, Through the Desert, 2000, 2, 5, 45, 45, 45, 12195, -1, 
191189, Aeon's End, 2017, 1, 4, 60, 60, 60, 7186, -1, 
118000, Africana, 2012, 2, 4, 60, 60, 60, 1609, -1, 
5130, Afrikan tähti, 1951, 2, 5, 45, 45, 45, 1189, -1, 
22545, Age of Empires III: The Age of Discovery, 2007, 2, 5, 90, 120, 120, 7889, -1, 
31260, Agricola, 2008, 1, 5, 30, 150, 150, 67042, -1, 
119890, Agricola: All Creatures Big and Small, 2012, 2, 2, 30, 30, 30, 15978, -1, 
32116, Airships, 2007, 2, 4, 45, 60, 60, 2818, -1, 
161970, Alchemists, 2014, 2, 4, 120, 120, 120, 18240, -1, 
6249, Alhambra, 2003, 2, 6, 45, 60, 60, 29352, -1, 
3818, Alias, 1995, 4, 12, 60, 60, 60, 1064, -1, 
48726, Alien Frontiers, 2011, 2, 4, 90, 90, 90, 13345, -1, 
88282, Alien Frontiers: The Mind Control Helmet, 2011, 2, 4, 60, 60, 60, 1451, -1, 
110277, Among the Stars, 2012, 2, 4, 30, 30, 30, 8442, -1, 
128152, Among the Stars: Ambassadorial Shuttle, 2012, 2, 4, 30, 30, 30, 659, -1, 
138546, Among the Stars: Hythian, 2013, 2, 4, 30, 30, 30, 910, -1, 
125841, Among the Stars: Indiegogo Promos, 2012, 2, 4, 30, 30, 30, 540, -1, 
5404, Amun-Re, 2003, 3, 5, 90, 90, 90, 8590, -1, 
124742, Android: Netrunner, 2012, 2, 2, 45, 45, 45, 37415, -1, 
105, Colossal Arena, 2004, 2, 5, 60, 60, 60, 8173, -1, 
12005, Around the World in 80 Days, 2004, 2, 6, 50, 70, 70, 3023, -1, 
69789, Ascension: Deckbuilding Game, 2010, 1, 4, 30, 30, 30, 11094, -1, 
39683, At the Gates of Loyang, 2010, 1, 4, 60, 120, 120, 10007, -1, 
2570, Atlantic Star, 2001, 2, 6, 60, 60, 60, 1575, -1, 
19999, Aton, 2006, 2, 2, 30, 30, 30, 4127, -1, 
8051, Attika, 2003, 2, 4, 45, 60, 60, 5625, -1, 
171623, The Voyages of Marco Polo, 2015, 2, 4, 40, 100, 100, 17071, -1, 
39351, Automobile, 2009, 3, 5, 120, 120, 120, 4921, -1, 
230802, Azul, 2017, 2, 4, 30, 45, 45, 32793, -1, 
123417, Bagatelle, 1819, 2, -1, -1, -1, -1, 37, -1, 
5716, Balloon Cup, 2003, 2, 2, 30, 30, 30, 5521, -1, 
293, Bamboleo, 2004, 2, 7, 30, 30, 30, 1288, -1, 
1231, Bausack: Sac Noir, -1, 2, 8, 15, 45, 45, 4377, -1, 
3955, BANG!, 2002, 4, 7, 20, 40, 40, 26611, -1, 
20237, BANG! A Fistful of Cards, 2005, 4, 7, 30, 30, 30, 2620, -1, 
9653, BANG! Dodge City, 2004, 3, 8, 20, 40, 40, 7093, -1, 
8269, BANG! High Noon, 2003, 4, 7, 30, 30, 30, 2864, -1, 
30933, BANG! The Bullet!, 2007, 3, 8, 20, 40, 40, 10876, -1, 
760, Battle Line, 2007, 2, 2, 30, 30, 30, 17016, -1, 
2425, Battleship, 1931, 2, 2, 30, 30, 30, 10028, -1, 
37111, Battlestar Galactica: The Board Game, 2008, 3, 6, 120, 300, 300, 32220, -1, 
25643, Arkadia, 2006, 2, 4, 45, 60, 60, 4087, -1, 
28723, Before the Wind, 2007, 2, 4, 75, 75, 75, 1785, -1, 
50750, Belfort, 2011, 2, 5, 120, 120, 120, 6281, -1, 
29308, Beowulf: The Movie Board Game, 2007, 2, 4, 30, 60, 60, 2549, -1, 
32441, Bezzerwizzer, 2008, 2, 4, 45, 45, 45, 3643, -1, 
37099, Bharg, 2008, 2, 2, 30, 30, 30, 36, -1, 
34219, Biblios, 2007, 2, 4, 30, 30, 30, 15939, -1, 
132497, Lift it!, 2014, 1, 8, 30, 30, 30, 1274, -1, 
7316, Bingo, 1530, 2, 2, 60, 60, 60, 1106, -1, 
96345, Black Stories Funny Death Edition, 2011, 2, 15, 20, 20, 20, 700, -1, 
756, Black Vienna, 1987, 3, 6, 60, 60, 60, 464, -1, 
10816, Blackjack, 1700, 2, 10, 30, 30, 30, 517, -1, 
83195, Ghost Blitz, 2010, 2, 8, 20, 20, 20, 7547, -1, 
2453, Blokus, 2000, 2, 4, 20, 20, 20, 24899, -1, 
21882, Blue Moon City, 2006, 2, 4, 60, 60, 60, 6775, -1, 
45, Liars Dice, 1987, 2, 6, 15, 30, 30, 13606, -1, 
136280, La Boca, 2013, 3, 6, 40, 40, 40, 1914, -1, 
31506, Ziegen Kriegen, 2007, 3, 6, 15, 15, 15, 1571, -1, 
11, Bohnanza, 2000, 2, 7, 45, 45, 45, 47228, -1, 
127060, Bora Bora, 2013, 2, 4, 60, 120, 120, 10660, -1, 
17106, Boxes, 1889, 2, 2, 15, 15, 15, 109, -1, 
13546, Brain Bash!, 1994, 1, 4, 20, 20, 20, 21, -1, 
42311, My First BrainBox, 2008, 1, 8, 10, 10, 10, 55, -1, 
28720, Brass, 2007, 2, 4, 60, 120, 120, 18664, -1, 
111124, Dark Moon, 2011, 3, 7, 60, 75, 75, 3935, -1, 
