Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
68448, 7 Wonders, 2010, 2, 7, 30, 30, 30, 86894, -1, 
230802, Azul, 2017, 2, 4, 30, 45, 45, 32435, -1, 
167791, Terraforming Mars, 2016, 1, 5, 120, 120, 120, 43632, -1, 
3377, 20 Questions, 1988, 2, 7, 30, 30, 30, 965, -1, 
175878, 504, 2015, 2, 4, 30, 120, 120, 3100, -1, 
180263, The 7th Continent, 2017, 1, 4, 5, 1000, 1000, 15633, -1, 
217, A la carte, 1989, 2, 4, 30, 30, 30, 3820, -1, 
155987, Abyss, 2014, 2, 4, 30, 60, 60, 8961, -1, 
90729, Addict: Le Grand Quiz Interactif, 2008, 2, 4, 45, 45, 45, 12, -1, 
191189, Aeon's End, 2016, 1, 4, 60, 60, 60, 7108, -1, 
118000, Africana, 2012, 2, 4, 60, 60, 60, 1606, -1, 
31260, Agricola, 2007, 1, 5, 30, 150, 150, 66950, -1, 
90419, Airlines Europe, 2011, 2, 5, 75, 75, 75, 7226, -1, 
185343, Anachrony, 2017, 1, 4, 30, 120, 120, 9096, -1, 
19651, Angkor, 2005, 2, 4, 30, 30, 30, 244, -1, 
27117, Animalia, 2006, 2, 6, 15, 15, 15, 705, -1, 
140934, Arboretum, 2015, 2, 4, 30, 30, 30, 9801, -1, 
155068, Arcadia Quest, 2014, 2, 4, 60, 60, 60, 12087, -1, 
162391, Archaeologia, 2014, 2, 4, 40, 40, 40, 153, -1, 
207753, Arena: For the Gods!, 2017, 2, 6, 30, 40, 40, 954, -1, 
205637, Arkham Horror: The Card Game, 2016, 1, 2, 60, 120, 120, 28832, -1, 
40629, Bakong, 2009, 2, 6, 20, 20, 20, 769, -1, 
168681, Beyond Baker Street, 2016, 2, 4, 20, 20, 20, 2663, -1, 
34219, Biblios, 2007, 2, 4, 30, 30, 30, 15908, -1, 
2453, Blokus, 2000, 2, 4, 20, 20, 20, 24856, -1, 
140933, Blueprints, 2013, 2, 4, 30, 30, 30, 7042, -1, 
40214, Bombay, 2009, 2, 5, 45, 45, 45, 1995, -1, 
104376, Bonbons, 2011, 2, 6, 10, 20, 20, 315, -1, 
85005, The Boss, 2010, 2, 4, 40, 40, 40, 2234, -1, 
184921, Bunny Kingdom, 2017, 2, 4, 40, 60, 60, 4873, -1, 
822, Carcassonne, 2000, 2, 5, 30, 45, 45, 116474, -1, 
90305, Cargo Noir, 2011, 2, 5, 30, 90, 90, 3464, -1, 
655, Castle, 2000, 2, 5, 30, 30, 30, 2157, -1, 
13094, Category Game, 1994, 2, 8, 30, 30, 30, 83, -1, 
33088, Chabyrinthe, 2007, 2, 4, 15, 15, 15, 699, -1, 
197376, Charterstone, 2017, 1, 6, 45, 75, 75, 14946, -1, 
246742, Château Aventure, 2018, 2, 10, 30, 30, 30, 242, -1, 
239188, Chronicles of Crime, 2018, 1, 4, 60, 90, 90, 5905, -1, 
240465, CIV: Carta Impera Victoria, 2018, 2, 4, 20, 40, 40, 689, -1, 
201808, Clank!: A Deck-Building Adventure, 2016, 2, 4, 30, 60, 60, 19781, -1, 
147151, Concept, 2013, 4, 12, 40, 40, 40, 17534, -1, 
142432, Continental Express, 2014, 2, 4, 20, 20, 20, 1025, -1, 
15271, Contrario, 2001, 2, 12, 30, 30, 30, 405, -1, 
121987, Crimebox Investigation, 2012, 2, 8, 30, 30, 30, 167, -1, 
166158, Dark Tales, 2014, 2, 4, 30, 30, 30, 1546, -1, 
96713, Deadwood, 2011, 2, 5, 30, 60, 60, 3032, -1, 
104162, Descent: Journeys in the Dark (Second Edition), 2012, 2, 5, 120, 120, 120, 29461, -1, 
143827, Descent: Journeys in the Dark (Second Edition) – The Trollfens, 2013, 2, 5, 60, 60, 60, 5530, -1, 
154600, Desperados of Dice Town, 2014, 2, 4, 25, 25, 25, 1290, -1, 
194594, Dice Forge, 2017, 2, 4, 40, 40, 40, 11960, -1, 
258244, Discover: Lands Unknown, 2018, 1, 4, 60, 120, 120, 1736, -1, 
39856, Dixit, 2008, 3, 6, 30, 30, 30, 53048, -1, 
92499, Djam, 2011, 2, 6, 15, 15, 15, 247, -1, 
129615, Dog Royal, 2012, 2, 6, 45, 45, 45, 391, -1, 
36218, Dominion, 2008, 2, 4, 30, 30, 30, 86011, -1, 
20090, Double Agent, 2005, 2, 2, 20, 20, 20, 440, -1, 
108783, Dr. Shark, 2011, 2, 6, 45, 45, 45, 465, -1, 
161138, Dragon Run, 2014, 2, 5, 15, 15, 15, 638, -1, 
102548, Dungeon Fighter, 2011, 1, 6, 45, 45, 45, 6826, -1, 
97207, Dungeon Petz, 2011, 2, 4, 90, 90, 90, 14089, -1, 
138788, Dungeon Roll, 2013, 1, 4, 15, 15, 15, 13087, -1, 
160081, Dungeon Saga: Dwarf King's Quest, 2015, 2, 5, 30, 120, 120, 2363, -1, 
12995, Dungeon Twister, 2004, 2, 2, 60, 60, 60, 7263, -1, 
