Juego,R1, P1, R2, P2, R3, P3, R4, P4, R5, P5, R6, P6, R7, P7, R8, P8, R9, P9, R10, P10
68448, 28143, 9.0, 230802, 9.0, 224316, 8.0, 84876, 8.0, 36218, 8.0, 157354, 8.0, 34635, 7.0, 173346, 7.0, 180263, 7.0, 148228, 6.0, 
167791, 84876, 8.0, 230802, 8.0, 161417, 7.0, 157354, 7.0, 822, 7.0, 163412, 6.0, 224316, 6.0, 28143, 6.0, 108745, 6.0, 171623, 6.0, 
230802, 224316, 9.0, 68448, 9.0, 84876, 8.0, 157354, 8.0, 28143, 8.0, 36218, 8.0, 167791, 8.0, 8217, 7.0, 40692, 7.0, 822, 7.0, 
3377, 180263, 1.0, 155987, 1.0, 191189, 1.0, 31260, 1.0, 90419, 1.0, 185343, 1.0, 230802, 1.0, 184921, 1.0, 197376, 1.0, 239188, 1.0, 
168433, 137297, 2.0, 25292, 2.0, 176494, 2.0, 163968, 2.0, 36218, 2.0, 39856, 2.0, 104162, 2.0, 147151, 2.0, 201808, 2.0, 239188, 2.0, 
180263, 28143, 9.0, 84876, 8.0, 157354, 8.0, 68448, 7.0, 178900, 7.0, 193738, 7.0, 164928, 7.0, 230802, 7.0, 36218, 7.0, 43570, 6.0, 
155987, 31260, 5.0, 36218, 5.0, 48726, 4.0, 127060, 4.0, 84876, 4.0, 245638, 4.0, 34635, 4.0, 157354, 4.0, 122515, 4.0, 171623, 4.0, 
191189, 180263, 6.0, 84876, 5.0, 178900, 5.0, 245638, 5.0, 157354, 5.0, 193738, 5.0, 122515, 5.0, 70149, 5.0, 164928, 5.0, 28143, 5.0, 
31260, 2651, 8.0, 84876, 7.0, 122515, 7.0, 70149, 7.0, 28143, 7.0, 36218, 7.0, 822, 6.0, 34635, 6.0, 73439, 6.0, 126163, 6.0, 
90419, 176494, 6.0, 159508, 5.0, 136888, 5.0, 84876, 5.0, 155426, 5.0, 245638, 5.0, 157354, 5.0, 143693, 5.0, 66362, 5.0, 146886, 5.0, 
185343, 178900, 6.0, 157354, 6.0, 3076, 6.0, 28143, 6.0, 180263, 6.0, 230802, 6.0, 239188, 6.0, 66362, 5.0, 107529, 5.0, 123540, 5.0, 
184921, 230802, 2.0, 180263, 2.0, 201808, 2.0, 147151, 2.0, 39856, 2.0, 36218, 2.0, 163968, 2.0, 203427, 2.0, 137297, 2.0, 136888, 1.0, 
197376, 230802, 4.0, 185343, 4.0, 180263, 4.0, 239188, 4.0, 147151, 4.0, 163968, 4.0, 278, 3.0, 236457, 3.0, 178900, 3.0, 160010, 3.0, 
239188, 178900, 6.0, 157354, 6.0, 3076, 6.0, 28143, 6.0, 230802, 6.0, 185343, 6.0, 180263, 6.0, 147151, 6.0, 163968, 6.0, 107529, 5.0, 
201808, 28143, 7.0, 113294, 6.0, 27162, 6.0, 8217, 6.0, 40692, 6.0, 224316, 6.0, 84876, 6.0, 157354, 6.0, 2651, 6.0, 3076, 6.0, 
147151, 230802, 7.0, 163968, 7.0, 157354, 6.0, 107529, 6.0, 28143, 6.0, 224316, 6.0, 239188, 6.0, 180263, 6.0, 5782, 5.0, 84876, 5.0, 
166158, 147151, 1.0, 201808, 1.0, 239188, 1.0, 197376, 1.0, 184921, 1.0, 230802, 1.0, 185343, 1.0, 90419, 1.0, 31260, 1.0, 191189, 1.0, 
104162, 167513, 3.0, 205637, 3.0, 119788, 3.0, 205059, 3.0, 31563, 3.0, 103686, 3.0, 125311, 3.0, 9220, 3.0, 2511, 3.0, 213460, 3.0, 
143827, 104162, 2.0, 149915, 1.0, 200784, 1.0, 129423, 1.0, 137842, 1.0, 176443, 1.0, 175455, 1.0, 41833, 1.0, 55597, 1.0, 112373, 1.0, 
258244, 143827, 1.0, 104162, 1.0, 166158, 1.0, 147151, 1.0, 201808, 1.0, 239188, 1.0, 197376, 1.0, 184921, 1.0, 230802, 1.0, 185343, 1.0, 
39856, 84876, 8.0, 157354, 7.0, 36218, 7.0, 161417, 6.0, 34635, 6.0, 224316, 6.0, 2651, 6.0, 3076, 6.0, 28143, 6.0, 171623, 6.0, 
36218, 84876, 8.0, 68448, 8.0, 157354, 8.0, 28143, 8.0, 230802, 8.0, 34635, 7.0, 2651, 7.0, 171623, 7.0, 39856, 7.0, 31260, 7.0, 
163968, 147151, 7.0, 230802, 7.0, 157354, 6.0, 107529, 6.0, 28143, 6.0, 224316, 6.0, 239188, 6.0, 180263, 6.0, 5782, 5.0, 84876, 5.0, 
203427, 230802, 3.0, 124361, 2.0, 102794, 2.0, 84876, 2.0, 822, 2.0, 153938, 2.0, 173346, 2.0, 220308, 2.0, 154203, 2.0, 163412, 2.0, 
